name,address_1,address_2,city,state,zipcode,phone,latitude,longitude,category,website,active,daycode,open,close
Arleta Community Garden,8800 Canterbury Avenue,,San Fernando Valley,CA,91331,,34.22961903,-118.4245122,Community Garden,,Y,,,
Crenshaw Community Garden,1423 S Crenshaw Blvd,,Los Angeles,CA,90019,,34.04619603,-118.3276274,Community Garden,http://crenshawgarden.blogspot.com/,Y,,,
Eagle Rockdale Community Garden & Art Park,1003 Rockdale Avenue,,Los Angeles,CA,90041,,34.13392644,-118.1887884,Community Garden,https://www.facebook.com/Eagle-Rockdale-Community-Garden-Art-Park-121724107876620/,Y,,,
Eastwind Community Garden,110 Eastwind Street,,Marina Del Rey,CA,90292,,33.97724579,-118.4631657,Community Garden,http://www.eastwindgarden.com/,Y,,,
El Sereno Community Garden,5466 Huntington Drive,,Los Angeles,CA,90032,,34.09249662,-118.1616233,Community Garden,https://communitygarden.org/find-a-garden/gardens/el-sereno-community-garden/,Y,,,
Elysian Valley Community Garden,1816 W Blake Avenue,,Los Angeles,CA,90039,,34.09722483,-118.2429669,Community Garden,http://lagardencouncil.org/elysianvalley/,Y,,,
Emerson Avenue Community Garden,6550 W 80th Street,,Westchester,CA,90045,,33.96923397,-118.4047634,Community Garden,http://www.eacgc.org/,Y,,,
Enrique Noguera Educational Garden,6614 Fountain Avenue,,Los Angeles,CA,90038,,34.09435535,-118.3337145,Community Garden,https://www.facebook.com/pages/Enrique-Noguera-Gardens/213260882100604,Y,,,
Epworth Community Garden,1419 W 65th Place,,Los Angeles,CA,90047,,33.98062804,-118.3007416,Community Garden,https://www.facebook.com/pages/Epworth-Community-Garden/246001935564389,Y,,,
Erika J. Glazer Community Garden,2632 Raymond Avenue,,Los Angeles,CA,90007,,34.03170032,-118.298016,Community Garden,http://www.lanlt.org/parks-and-gardens.php#erika,Y,,,
Fountain Community Gardens,5620 Fountain Avenue,,Los Angeles,CA,90028,(323) 387-3241,34.09474231,-118.3117822,Community Garden,https://www.yelp.com/biz/fountain-community-garden-los-angeles,Y,,,
Fremont Wellness Center & Community Garden,7821 S Avalon Blvd,,Los Angeles,CA,90003,213-572-0188,33.96816788,-118.2651973,Community Garden,http://www.fremontwccg.org/,Y,,,
Glassell Park Community Garden,3304 Drew Street,,Los Angeles,CA,90065,,34.12005434,-118.2430059,Community Garden,http://glassellparknc.org/2015/03/community-garden-blooms-again/,Y,,,
Good Earth Community Garden,5990 Boden St,,Los Angeles,CA,90016,,34.03038873,-118.3676776,Community Garden,,Y,,,
Granada Hills Salad Bowl Garden Club,16003 Rinaldi Street,,Granada Hills,CA,91344,818-368-4533,34.27917819,-118.4808094,Community Garden,,Y,,,
Greater Watts Community Garden,660 E 118th Place,,Los Angeles,CA,90059,,33.92644283,-118.2629993,Community Garden,,Y,,,
Holy Nativity Community Garden,6700 W 83rd Street,,Westchester,CA,90045,(310) 670-4777,33.96343338,-118.4064699,Community Garden,http://www.holynativityparish.org/the-community-garden-at-holy-nativity/,Y,,,
Howard Finn Community Garden,7747 Foothill Blvd,,Tujunga,CA,91042,,34.25813176,-118.3016987,Community Garden,https://www.facebook.com/pg/Finn-Community-Garden-1056595011050119/photos/?tab=album&album_id=1068115096564777,Y,,,
Jardin Del Rio,2363 N Riverdale Avenue,,Los Angeles,CA,90031,,34.09173305,-118.234039,Community Garden,,Y,,,
John S. Gibson Senior Garden,1500 S Harbor Blvd,,San Pedro,CA,90731,,33.73094877,-118.2799586,Community Garden,,Y,,,
Manzanita Street Community Garden,1101 Manzanita Street,,Los Angeles,CA,90029,(323) 533-3235,34.09348168,-118.280907,Community Garden,https://www.facebook.com/pages/Manzanita-Street-Organic-Community-Garden/398760433516388,Y,,,
