name,address,address_2,city,state,zip,phone,latitude,longitude,category,website,active,daycode,open,close
Arleta Community Garden,8800 Canterbury Avenue,,San Fernando Valley,CA,91331,,34.22961903400005,-118.42451217799999,Community Garden,,Y,,,
Crenshaw Community Garden,1423 S Crenshaw Blvd,,Los Angeles,CA,90019,,34.04619602500003,-118.32762735099999,Community Garden,http://crenshawgarden.blogspot.com/,Y,,,
Eagle Rockdale Community Garden & Art Park,1003 Rockdale Avenue,,Los Angeles,CA,90041,,34.13392643900005,-118.18878835899994,Community Garden,https://www.facebook.com/Eagle-Rockdale-Community-Garden-Art-Park-121724107876620/,Y,,,
Eastwind Community Garden,110 Eastwind Street,,Marina Del Rey,CA,90292,,33.977245786000026,-118.46316565099994,Community Garden,http://www.eastwindgarden.com/,Y,,,
El Sereno Community Garden,5466 Huntington Drive,,Los Angeles,CA,90032,,34.092496624000034,-118.16162328499996,Community Garden,https://communitygarden.org/find-a-garden/gardens/el-sereno-community-garden/,Y,,,
Elysian Valley Community Garden,1816 W Blake Avenue,,Los Angeles,CA,90039,,34.09722482600006,-118.24296690099999,Community Garden,http://lagardencouncil.org/elysianvalley/,Y,,,
Emerson Avenue Community Garden,6550 W 80th Street,,Westchester,CA,90045,,33.96923397100005,-118.40476339999998,Community Garden,http://www.eacgc.org/,Y,,,
Enrique Noguera Educational Garden,6614 Fountain Avenue,,Los Angeles,CA,90038,,34.09435534900007,-118.33371449399999,Community Garden,https://www.facebook.com/pages/Enrique-Noguera-Gardens/213260882100604,Y,,,
Epworth Community Garden,1419 W 65th Place,,Los Angeles,CA,90047,,33.98062804400007,-118.30074157399997,Community Garden,https://www.facebook.com/pages/Epworth-Community-Garden/246001935564389,Y,,,
Erika J. Glazer Community Garden,2632 Raymond Avenue,,Los Angeles,CA,90007,,34.03170032000003,-118.298016013,Community Garden,http://www.lanlt.org/parks-and-gardens.php#erika,Y,,,
Fountain Community Gardens,5620 Fountain Avenue,,Los Angeles,CA,90028,(323) 387-3241,34.094742309000026,-118.31178217299998,Community Garden,https://www.yelp.com/biz/fountain-community-garden-los-angeles,Y,,,
Fremont Wellness Center & Community Garden,7821 S Avalon Blvd,,Los Angeles,CA,90003,213-572-0188,33.968167884000025,-118.26519727599998,Community Garden,http://www.fremontwccg.org/,Y,,,
Glassell Park Community Garden,3304 Drew Street,,Los Angeles,CA,90065,,34.12005433500008,-118.24300594999994,Community Garden,http://glassellparknc.org/2015/03/community-garden-blooms-again/,Y,,,
Good Earth Community Garden,5990 Boden St,,Los Angeles,CA,90016,,34.03038872700006,-118.36767758199994,Community Garden,,Y,,,
Granada Hills Salad Bowl Garden Club,16003 Rinaldi Street,,Granada Hills,CA,91344,818-368-4533,34.27917819000004,-118.48080939099998,Community Garden,,Y,,,
Greater Watts Community Garden,660 E 118th Place,,Los Angeles,CA,90059,,33.92644283300007,-118.26299932099994,Community Garden,,Y,,,
Holy Nativity Community Garden,6700 W 83rd Street,,Westchester,CA,90045,(310) 670-4777,33.96343338400004,-118.40646992899997,Community Garden,http://www.holynativityparish.org/the-community-garden-at-holy-nativity/,Y,,,
Howard Finn Community Garden,7747 Foothill Blvd,,Tujunga,CA,91042,,34.25813176300005,-118.30169870499998,Community Garden,https://www.facebook.com/pg/Finn-Community-Garden-1056595011050119/photos/?tab=album&album_id=1068115096564777,Y,,,
Jardin Del Rio,2363 N Riverdale Avenue,,Los Angeles,CA,90031,,34.09173305100006,-118.23403902199999,Community Garden,,Y,,,
John S. Gibson Senior Garden,1500 S Harbor Blvd,,San Pedro,CA,90731,,33.73094877400007,-118.279958637,Community Garden,,Y,,,
Manzanita Street Community Garden,1101 Manzanita Street,,Los Angeles,CA,90029,(323) 533-3235,34.09348167700006,-118.28090701699995,Community Garden,https://www.facebook.com/pages/Manzanita-Street-Organic-Community-Garden/398760433516388,Y,,,
Mar Vista Community Garden,5075 S Slauson Avenue,,Culver City,CA,90230,310-915-1123,33.993487198000025,-118.40685594399997,Community Garden,https://www.oceanviewfarms.net/location.php,Y,,,
Messiah Organic Community Garden,7300 West Manchester Avenue,,Los Angeles,CA,90045,,33.959693077000054,-118.42254886999996,Community Garden,,Y,,,
Milagro Allegro Community Garden,115 S Avenue 56,,Los Angeles,CA,90042,323-256-7122,34.08733119000004,-118.32063535099996,Community Garden,https://communitygarden.org/find-a-garden/gardens/milagro-allegro-community-garden/,Y,,,
Moothart Collingnon/Francis Avenue Community Garden,2909 Francis Avenue,,Los Angeles,CA,90005,,34.056847719000075,-118.28941998999994,Community Garden,,Y,,,
Ocean View Farms,3300 S Centinela Avenue,,Mar Vista,CA,90066,,34.01472864200008,-118.44193053599997,Community Garden,https://www.oceanviewfarms.net/,Y,,,
Orcutt Ranch Horticultural Center Rancho Sombra del Roble,23600 Roscoe Blvd,,West Hills,CA,91304,,34.219132785000056,-118.64119895299996,Community Garden,,Y,,,
Rancho San Pedro Community Garden,275 W 1st Street,,San Pedro,CA,90731,,33.74327698400003,-118.28301723599998,Community Garden,,Y,,,
Rosewood Gardens,4160 Rosewood Avenue,,Los Angeles,CA,90004,(323) 821-7748,34.075720587000035,-118.30301712299996,Community Garden,,Y,,,
Salesian Boys & Girls Club Community Garden,2228 E 4th Street,,Los Angeles,CA,90033,,34.04122508200004,-118.21322074599999,Community Garden,,Y,,,
San Pedro Gardens,1400 N Gaffey Street,,San Pedro,CA,90731,,33.73126012100005,-118.29234678599994,Community Garden,,Y,,,
Sepulveda Garden Center,16633 Magnolia Boulevard,,Encino,CA,91436,(818) 784-5180,34.16495650300004,-118.49550040099996,Community Garden,http://www.laparks.org/horticulture/sepulveda-garden-center,Y,,,
Solano Canyon Community Garden,545 Solano Avenue,,Los Angeles,CA,90012,,34.07418256500006,-118.23143009599994,Community Garden,https://www.facebook.com/Solano-Canyon-Community-Garden-133534380050987/,Y,,,
Stanford Avalon Community Garden,658 E 111th Place,,Los Angeles,CA,90059,,33.93417627300005,-118.26377086299999,Community Garden,,Y,,,
The Learning Garden,1300 Venice Blvd,,Los Angeles,CA,90006,(310) 722-3656,34.04290510900006,-118.28222053399998,Community Garden,http://www.thelearninggarden.org/,Y,,,
Vermont Square Community Garden,4712 S Vermont Avenue,,Los Angeles,CA,90037,,34.00009092600004,-118.29150677299998,Community Garden,,Y,,,
Wattles Farm,1714 N Curson Avenue,,Los Angeles,CA,90046,(323) 663-7441,34.10199104600008,-118.35501155199995,Community Garden,http://www.wattlesfarm.com/,Y,,,
Mansfield Fountain Community Garden,1259 N Mansfield Avenue,,Los Angeles,CA,90038,,34.09361321000006,-118.340501873,Community Garden,https://www.facebook.com/Mansfield-Fountain-Community-Garden-Hollywood-CA-1062186980476336/,Y,,,
Norman Harriton Community Garden,2037 N Sanborn Avenue,,Los Angeles,CA,90027,,34.104141973000026,-118.27865306899997,Community Garden,,Y,,,
