UID,name,type,address,city,state,zip,latitude,longitude
,Youth Green Community Garden,Community Garden,12467 W. Osborne Street,Los Angeles,CA,91331,34.25777331100005,-118.40466851899998
,Eagle Rockdale Community Garden and Art Park,Community Garden,1003 Rockdale Avenue,Los Angeles,CA,90041,34.13392643900005,-118.18878835899994
,Milagro Allegro Community Garden,Community Garden,,Los Angeles,CA,90042,34.08733119000004,-118.32063535099996
,Glassell Park Community Garden,Community Garden,3305 Drew Street,Los Angeles,CA,90065,34.12005433500008,-118.24300594999994
,Elysian Valley Community Garden,Community Garden,1816 W Blake Avenue,Los Angeles,CA,90039,34.09722482600006,-118.24296690099999
,Fountain Community Gardens,Community Garden,5620 Fountain Avenue,Los Angeles,CA,90028,34.094742309000026,-118.31178217299998
,Mansfield Fountain Community Garden,Community Garden,1259 N Mansfield Avenue,Los Angeles,CA,90038,34.09361321000006,-118.340501873
,Rosewood Gardens,Community Garden,4160 Rosewood Avenue,Los Angeles,CA,90004,34.075720587000035,-118.30301712299996
,Wattles Farm,Community Garden,1714 N Curson Avenue,Los Angeles,CA,90046,34.10199104600008,-118.35501155199995
,Norman Harriton Community Garden,Community Garden,2037 N Sanborn Avenue,Los Angeles,CA,90027,34.104141973000026,-118.27865306899997
,Manzanita Street Community Garden,Community Garden,1101 Manzanita Street,Los Angeles,CA,90029,34.09348167700006,-118.28090701699995
,NameJardin Del Rio,Community Garden,2363 N Riverdale Avenue,Los Angeles,CA,90031,34.09173305100006,-118.23403902199999
,El Sereno Community Garden,Community Garden,5466 Huntington Drive,Los Angeles,CA,90032,34.092496624000034,-118.16162328499996
,Proyecto Jardin,Community Garden,1718 Bridge Street,Los Angeles,CA,90033,34.051895211000044,-118.21661075899999
,Salesian Boys & Girls Club Community Garden,Community Garden,2228 E 4th Street,Los Angeles,CA,90033,34.04122508200004,-118.21322074599999
,Mothers of East LA Community Garden,Community Garden,1020 S Fickett Street,Los Angeles,CA,90023,34.031341471000076,-118.21534039799997
,Solano Canyon Community Garden,Community Garden,545 Solano Avenue,Los Angeles,CA,90012,34.07418256500006,-118.23143009599994
,Union Avenue/Cesar Chavez Community Garden,Community Garden,1136 S Union Avenue,Los Angeles,CA,90015,34.04670418200004,-118.27568363899996
,Moothart Collingnon/Francis Avenue Community Garden,Community Garden,2909 Francis Avenue,Los Angeles,CA,90005,34.056847719000075,-118.28941998999994
,Yamazaki Memorial Community Garden,Community Garden,961 S Mariposa Avenue,Los Angeles,CA,90006,EMPTY,EMPTY
,Crenshaw Community Garden,Community Garden,1423 S Crenshaw Blvd,Los Angeles,CA,90019,34.04619602500003,-118.32762735099999
,Good Earth Community Garden,Community Garden,5552 Boden Street,Los Angeles,CA,90016,34.03038872700006,-118.36767758199994
,Erika J. Glazer Community Garden,Community Garden,2632 Raymond Avenue,Los Angeles,CA,90007,34.03170032000003,-118.298016013
,The Learning Garden,Community Garden,1300 Venice Blvd,Los Angeles,CA,90006,34.04290510900006,-118.28222053399998
,Growing Great Dreams,Community Garden,125 E Martin Luther King Jr Boulevard,Los Angeles,CA,90011,34.011177185000065,-118.27269605799995
,Vermont Square Community Garden,Community Garden,4712 S Vermont Avenue,Los Angeles,CA,90037,34.00009092600004,-118.29150677299998
,Epworth Community Garden,Community Garden,1419 W 65th Street,Los Angeles,CA,90044,33.98062804400007,-118.30074157399997
,Fremont Wellness Center & Community Garden,Community Garden,7821 S Avalon Blvd,Los Angeles,CA,90003,33.968167884000025,-118.26519727599998
,Stanford Avalon Community Garden,Community Garden,658 E 111th Place,Los Angeles,CA,90059,33.93417627300005,-118.26377086299999
,Greater Watts Community Garden,Community Garden,660 E 118th Place,Los Angeles,CA,90059,33.92644283300007,-118.26299932099994
,Bougainvillea Community Garden,Community Garden,2051 E 103rd Street,Los Angeles,CA,90002,33.94256766900003,-118.25886981299999
,Vista Hermosa Gardens,Community Garden,1590 E 114th Street,Los Angeles,CA,90059,33.931087181000066,-118.24652602499998
,Messiah Organic Community Garden,Community Garden,7300 West Manchester Avenue,Los Angeles,CA,90045,33.959693077000054,-118.42254886999996
,Enrique Noguera Educational Garden,Community Garden,6614 Fountain Avenue,Los Angeles,CA,90038,34.09435534900007,-118.33371449399999
,Howard Finn Community Garden,Community Garden,7747 Foothill Blvd,Tujunga,CA,91042,34.25813176300005,-118.30169870499998
,Granada Hills Salad Bowl Garden Club,Community Garden,16003 Rinaldi Street,Granada Hills,CA,91344,34.27917819000004,-118.48080939099998
,Rosemary & Thyme Community Garden,Community Garden,10161 Jordan Avenue,Chatsworth,CA,91311,34.25474981600007,-118.60390304799995
,Van Nuys Garden Center,Community Garden,16400 Chase Street,North Hills,CA,91343,34.224755550000054,-118.48964637099999
,Arleta Community Garden,Community Garden,8800 Canterbury Avenue,San Fernando Valley,CA,91331,34.22961903400005,-118.42451217799999
