name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,active,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close,year_round (y/n),season_open,season_close
Jardin Del Rio,2363 N. Riverdale Avenue,,Los Angeles,CA,,,34.09124006000,-118.23460919000,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Grows Unity Farm,5450 Atherton Street,,Long Beach,CA,90815,,33.78817769000,-118.12686776000,,,,,,,,,,,,,,,,,,,,,,,,,,
F And A Nursery,7399 Crider Avenue,,Pico Rivera,CA,,,33.98383095000,-118.11027271000,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe Springs Community Garden,10145 Pioneer Boulevard,,Santa Fe Springs,CA,,,33.94403714000,-118.08158172000,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Seasons Wholesale Nursery,Plummer Street,,Northridge,CA,,,34.24275206000,-118.54728006000,,,,,,,,,,,,,,,,,,,,,,,,,,
El Castillo Nursery,555 West 146th Street,,Gardena,CA,,,33.89963956000,-118.28457629000,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy Nursery,16526 Circle Hill Lane,,Hacienda Heights,CA,,,33.98563293000,-117.94976779000,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Seasons Ornamental,243 Euclid St.,,Santa Monica,CA,,,34.03709361000,-118.50272007000,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Avenue Community Garden,6550 West 80th Street,,Los Angeles,CA,,,33.96932326000,-118.40424525000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand View Geranium Gardens, Incorporated",18307 South Central Avenue,,Compton,CA,,,33.88189800000,-118.24881716000,,,,,,,,,,,,,,,,,,,,,,,,,,
We Garden,1010 Abbot Kinney Blvd,,Venice,CA,,,33.99211615000,-118.47218907000,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior'S Nursery,18836 Satrcoy St,,Reseda,CA,,,34.20087433000,-118.54044183000,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Monica- Park Drive Community Garden,1400 Park Drive,,Santa Monica,CA,,,34.03189801000,-118.47590786000,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose J. Munoz Nursery,10750 Oxnard St.,,North Hollywood,CA,,,34.17940312000,-118.36498598000,,,,,,,,,,,,,,,,,,,,,,,,,,
L.A. Nursery,18820 Prairie Avenue,,Northridge,CA,,,34.23910234000,-118.54315852000,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence-Firestone Community Garden,Northwest corner of E. 98th Street and Pace Avenue,,Los Angeles,CA,,,33.94942949000,-118.24622413000,,,,,,,,,,,,,,,,,,,,,,,,,,
Centenos Nursery And Landscaping,6850 Paramount Boulevard,,Long Beach,CA,,,33.87930587000,-118.15992579000,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Finn Community Garden,7747 Foothill Boulevard,,Tujunga,CA,,,34.25793175000,-118.30149880000,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grown Nursery,31094 San Martinez Road,,Castaic,CA,,,34.44924376000,-118.67784417000,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikamo Nursery,1029 West 223rd Street,,Torrance,CA,,,33.82449803000,-118.29335881000,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Edison Elementary,435 S. Pacific Avenue,,Glendale,CA,,,34.14055548000,-118.26444234000,,,,,,,,,,,,,,,,,,,,,,,,,,
Reedley St. Farms,13531 Reedley St.,,Panorama City,CA,,,34.22701551000,-118.44560849000,,,,,,,,,,,,,,,,,,,,,,,,,,
William Anderson Elementary,4130 W. 154th Street,,Lawndale,CA,,,33.89098466000,-118.34696206000,,,,,,,,,,,,,,,,,,,,,,,,,,
"S.Y. Nursery, Incorporated",19900 South Pioneer Boulevard,,Cerritos,CA,,,33.84952087000,-118.08194243000,,,,,,,,,,,,,,,,,,,,,,,,,,
Gratts Early Education Center,1415 W. 5th Street,,Los Angeles,CA,,,34.05548652000,-118.26378181000,,,,,,,,,,,,,,,,,,,,,,,,,,
Somis Nursery Llc Dba Nakano Nursery,9647 Noble Ave,,North Hills,CA,,,34.24589076000,-118.46094315000,,,,,,,,,,,,,,,,,,,,,,,,,,
The Learning Centers At Fairplex - The Farm,1101 W. McKinley Avenue,,Pomona,CA,,,34.08105040000,-117.76671750000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toro Nursery, Incorporated",17620 Crenshaw Boulevard,,Torrance,CA,,,33.87042353000,-118.32644989000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vineland Growers Nursery, Inc.",6200 Vineland Avenue,,North Hollywood,CA,,,34.18314248000,-118.37028719000,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Wood Nursery,2692 N. Towne Ave,,Pomona,CA,,,34.09344069000,-117.73675639000,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustus Hawkins High School,825 West 60th Street,,Los Angeles,CA,,,33.98552749000,-118.28804869000,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Park Usd Ece Center,3699 North Holly Ave,,Baldwin Park,CA,,,34.08302971000,-117.95977679000,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Garden At Barnhart School,240 W Colorado Blvd.,,Arcadia,CA,,,34.14537547000,-118.04020407000,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspire Inskeep Academy,123 w 59th st,,Los Angeles,CA,,,33.98695759000,-118.27475011000,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Pinos Wholesale Nursery,7860 Whitsett Avenue,,North Hollywood,CA,,,34.21402184000,-118.40521411000,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Plant Affair, Llc",1931 Blake Avenue,,Los Angeles,CA,,,34.09924732000,-118.24374726000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boething Treeland Farms, Incorporated",23475 Long Valley Road,,Calabasas,CA,,,34.15909679000,-118.63920950000,,,,,,,,,,,,,,,,,,,,,,,,,,
Elysian Heights Es,1562 BAXTER ST,,Los Angeles,CA,,,34.08883456000,-118.24882078000,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack London Day,12924 Oxnard Street┬á,,North Hollywood,CA,,,34.17938773000,-118.41430737000,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Marymount University,1 Loyola Marymount University Drive,,Los Angeles,CA,,,33.95498069000,-118.39823633000,,,,,,,,,,,,,,,,,,,,,,,,,,
Amestoy,1048 W. 149th St.,,Gardena,CA,,,33.89642346000,-118.29268980000,,,,,,,,,,,,,,,,,,,,,,,,,,
