FM_ID,name,address_1,address_2,city,state,zipcode,phone,latitude,longitude,website,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close
,Adams - Vermont Farmers Market / St. Agnes Church Farmer's Market,1432 W Adams Blvd,,Los Angeles,California,90007,(213)454-8533,34.0326,-118.2926,,Wed,1400,1900,,,
,Alhambra Certified Farmers Market,100 S. 2nd Street,,Alhambra,California,91801,(626)570-5081,34.0937,-118.1288,http://www.cityofalhambra.org/page/289/certified_farmers_market/,Sun,830,1300,,,
1009998,Altadena Farmers Market,600 W. Palm Street,,Altadena,California,91001,(310)595-0272,34.2004,-118.1581,http://altadenafarmersmarket.com/,Wed,1600,1900,,,
1011248,Antelope Valley Winery Farmers Market,42041 20th St. West,,Lancaster,California,93534,,34.647,-118.1662,,Sat,900,1200,,,
,Arts District Farmers Market,740 E 3rd St,,Los Angeles,California,90013,,34.045502,-118.236677,http://laraba.org/ad-farmers-market/,Sat,1000,1600,,,
1010003,Atwater Village Farmers Market,Wells Fargo Parking Lot,3250 Glendale Blvd,Los Angeles,California,90039,(323)463-3171,34.1182,-118.2602,,Sun,1000,1400,,,
,Baldwin La Brea Farmers Market,3601 S. La Brea Ave.,,Los Angeles,California,90016,,34.0212,-118.3561,http://www.localharvest.org/baldwin-la-brea-farmers-market-M66674,Sat,900,1430,,,
1003720,Baldwin Park Farmers Market,Baldwin Park - Cesar Chavez & Ramond,1011 Baldwin Park Blvd,Baldwin Park,California,91706,,34.0856,-117.965,,Fri,830,1330,,,
,Bank Of America Plaza Farmers Market,333 S Hope St,,Los Angeles,California,90021,(818)591-8161,34.0533,-118.2529,,Fri,1000,1400,,,
1004973,Bellflower Farmers Market,16614 Clark Ave at Oak Street,,Bellflower,California,90706,,33.8837,-118.1339,,Mon,900,1300,,,
1001460,Beverly Hills Farmers Market,9300 Civic Center Drive,,Beverly Hills,California,90210,(310)285-6830,34.0743,-118.3989,http://www.beverlyhills.org/exploring/farmersmarket/,Sun,900,1300,,,
,Boyle Heights Farmers Market,1831 E 1st St,,Los Angeles,California,90033,(323)331-2752,34.047096,-118.218686,"https://www.facebook.com/Boyle-Heights-Farmers-Market-308825742488228/""",Fri,1500,1900,,,
,Brentwood Village Farmers Market,741 South Gretna Green Way,,Los Angeles,California,90049,,34.0506,-118.4751,https://www.facebook.com/Brentwoodfm,Sun,900,1430,,,
1000843,Burbank Farmers Market,Corner of Olive & Glenoaks,"150 N. Third Street, Community Serv building parking lot",Burbank,California,91502,,34.1828,-118.308,https://www.facebook.com/burbankfarmersmarket,Sat,800,1230,,,
,Cal State University Northridge (CSUN) Farmers Market (CFM),18111 Nordhoff Street,,Northridge,California,91325,,34.235933,-118.528025,https://www.yelp.com/biz/california-state-university-northridge-farmers-market-northridge,Tue,1000,1400,,,
1003449,Calabasas Old Town Farmers Market,Calabasas & Mulholland Dr.,"23504 Calabasas Rd, Calabasas, 91302",Calabasas,California,91303,(818)591-8161,34.1587,-118.636,https://www.yelp.com/biz/old-town-calabasas-farmers-market-calabasas,Sat,800,1300,,,
1011132,Canoga Park Farmers Market,On Owensmouth Avenue between Wyandotte Street & Sherman Way,7248 Owensmouth Ave,Canoga Park,California,91303,,34.2025,-118.6014,https://www.facebook.com/CanogaParkFarmersMarket,Sat,900,1400,,,
1005208,Central Ave Farmers Market,courtyard of the Central Avenue Constituent Services Center,4301 Central Ave  at 43rd st,Los angeles  California,California,90011,,34.0058,-118.256,http://seela.org/markets-central-avenue/,Thu,1000,1500,,,
1003440,Century City Farmers Market,10100 Santa Monica Blvd.,,Century City,California,90037,,34.061,-118.4179,https://www.facebook.com/CenturyCityFM,Thu,1000,1400,,,
1010147,Cerritos Farmers Market,17870 Park plaza Drive,,Cerritos,California,90703,(562)597-7920,33.8693,-118.0625,https://www.facebook.com/CerritosFarmersMarket/,Sat,800,1200,,,
,Children's Hospital LA CFM,4650 Sunset Blvd.,,Los Angeles,California,90027,(323)361-8505,34.097567,-118.290099,https://www.facebook.com/chlafarmersmarket/,Wed,1000,1500,,,
1002106,Claremont Farmers Market,N Indian Hill Blvd & W 2Nd St,,Claremont,California,91711,(714)345-3087,34.0956,-117.7193,http://www.claremontforum.org/claremont-farmers-market/,Sun,800,1300,,,
1010233,Compton Blue Line Farmers Market,101 E Palmer Street,,Compton,California,90220,(888)353-5554 Ext.9,33.8979,-118.224,http://nfmd.org/ca/compton/1010233/,Thu,1100,1900,,,
1001500,Covina Farmers Market,Citrus Ave and San Bernandino Rd,Heritage Plaza,Covina,California,,(928)854-1105,34.0893,-117.89,http://www.covinafarmersmarket.com/,Fri,1700,2100,,,
1001714,Crenshaw Baldwin Hill Farmers Market,3650 W Martin Luther King Blvd,,Los Angeles,California,90008,(323)290-6636,34.0112,-118.3365,http://www.baldwinhillscrenshawplaza.com/farmersmarket,Sat,1000,1500,,,
1005403,Culver City Farmers Market,Main & Culver,,Culver City,California,90232,,34.0247,-118.396,http://www.culvercity.org/live/get-involved/farmers-market,Tue,1400,1900,,,
