fm_id,name,category,address_1,city,state,zipcode,phone,website,season_open,season_close,day_open,time_open,time_close,longitude,latitude,EBT,day1_open,day1_close,day2_open,day2_close,day3_open,day3_close,day4_open,day4_close,day5_open,day5_close,day6_open,day6_open,day7_open,day7_close
,Acton Farmers Market,Farmers Market,3801 Sierra Way,Acton,California,93510,,,5/1,10/31,3,4:00 PM,7:30 PM,-118.2004,34.4927,,,,,,4:00 PM,7:30 PM,,,,,,,,
,Adams - Vermont Farmers Market,Farmers Market,1432 W Adams Blvd,Los Angeles,California,90007,,,,,4,2:00 PM,6:00 PM,-118.2926,34.0326,Y,,,,,,,2:00 PM,6:00 PM,,,,,,
,Agoura Hills Farmers Market,Farmers Market,5835 Kanan Rd,Agoura Hills,California,91310,,,,,1,9:00 AM,2:00 PM,-118.7572,34.1569,,9:00 AM,2:00 PM,,,,,,,,,,,,
,Alhambra Farmers Market,Farmers Market,11 S. 2nd Street,Alhambra,California,91801,,,,,,,,-118.1288,34.0937,Y,8:30 AM,1:00 PM,,,,,,,5:00 PM,9:30 PM,,,,
1009998,Altadena Farmers Market,Farmers Market,600 W. Palm Street,Altadena,California,91001,,,1/8,3/5,4,3:00 PM,7:00 PM,-118.1581,34.2004,Y,,,,,,,3:00 PM,7:00 PM,,,,,,
1011248,Antelope Valley Winery Farmers Market,Farmers Market,42041 20th St. West,Lancaster,California,93534,,,5/30,11/28,7,9:00 AM,12:00 PM,-118.1662,34.647,,,,,,,,,,,,,,9:00 AM,12:00 PM
,Arcadia Street Fair Farmers Market,Farmers Market,Wheeler Ave. @ 1st Street,Arcadia,California,91016,,,,,6,5:00 PM,9:00 PM,-118.0284,34.1412,,,,,,,,,,,,5:00 PM,9:00 PM,,
,Arts District Little Tokyo Farmers Market,Farmers Market,200 N Spring St,Los Angeles,California,90012,,,,,5,10:00 AM,2:00 PM,-118.2432,34.054,Y,,,,,,,,,10:00 AM,2:00 PM,,,,
1010003,Atwater Village Farmers Market,Farmers Market,3250 Glendale Blvd,Los Angeles,California,90039,,,,,1,10:00 AM,2:00 PM,-118.2602,34.1182,Y,10:00 AM,2:00 PM,,,,,,,,,,,,
,Baldwin La Brea Farmers Market,Farmers Market,3601 S. La Brea Ave.,Los Angeles,California,90016,,,,,7,9:00 AM,2:00 PM,-118.3561,34.0212,Y,,,,,,,,,,,,,9:00 AM,2:00 PM
1003720,Baldwin Park Farmers Market,Farmers Market,Baldwin Park - Cesar Chavez & Ramond,Baldwin Park,California,91706,,,,,,,,-117.965,34.0856,,,,,,,,,,,,,,,
,Bank Of America Plaza Farmers Market,Farmers Market,333 S Hope St,Los Angeles,California,90021,,,,,6,11:00 AM,3:00 PM,-118.2529,34.0533,,,,,,,,,,,,11:00 AM,3:00 PM,,
1004973,Bellflower Farmers Market,Farmers Market,16614 Clark Ave at Oak Street,Bellflower,California,90706,,,,,2,9:00 AM,1:00 PM,-118.1339,33.8837,,,,9:00 AM,1:00 PM,,,,,,,,,,
,Beverly Glen Center Farmers Market,Farmers Market,2936 Beverly Glen Circle,Los Angeles,California,,,,,,7,8:00 AM,2:00 PM,-118.4437,34.1275,,,,,,,,,,,,,,8:00 AM,2:00 PM
1001460,Beverly Hills Farmers Market,Farmers Market,9300 Civic Center Drive,Beverly Hills,California,90210,,,1/1,12/31,1,9:00 AM,1:00 PM,-118.3989,34.0743,Y,9:00 AM,1:00 PM,,,,,,,,,,,,
,Bixby Park Farmers Market,Farmers Market,Bixby Street between 1st & 2nd Street,Long Beach,California,,,,1/1,12/31,3,3:00 PM,7:00 PM,-118.1799,33.8267,,,,,,3:00 PM,7:00 PM,,,,,,,,
,Bixby Park Farmers Market,Farmers Market,Bixby Street between 1st & 2nd Street,Long Beach,California,,,,1/1,12/31,7,9:00 AM,2:00 PM,-118.1799,33.8267,,,,,,,,,,,,,,9:00 AM,2:00 PM
,BLVD Farmers' Market,Farmers Market,758 West Lancaster Blvd,Lancaster,California,93534,,,,,5,4:00 PM,9:00 PM,,,Y,,,,,,,,,4:00 PM,9:00 PM,,,,
,Boyle Heights Farmers' Market,Farmers Market,1831 E 1st St,Los Angeles,California,90033,,,,,6,9:00 AM,3:00 PM,,,Y,,,,,,,,,,,9:00 AM,3:00 PM,,
,Bransdall Center Farmers Market,Farmers Market,4888 Hollywood Blvd,Los Angeles,California,90027,,,,,2,11:00 AM,5:00 PM,-118.2948,34.1017,,,,11:00 AM,5:00 PM,,,,,,,,,,
,Brentwood Village Farmers Market,Farmers Market,741 Gretna Green Way,Los Angeles,California,90049,,,,,1,9:00 AM,2:00 PM,-118.4751,34.0506,Y,9:00 AM,2:00 PM,,,,,,,,,,,,
1000843,Burbank Farmers Market,Farmers Market,150 N. Third Street Burbank,Burbank,California,91502,,,1/1,12/31,7,8:00 AM,12:30 PM,-118.308,34.1828,Y,,,,,,,,,,,,,8:00 AM,12:30 PM
,Cal State University Northridge (CSUN) Farmers Market (CFM),Farmers Market,18111 Nordhoff Street  Northridge,Northridge,California,91325,,,,,3,10:00 AM,2:00 PM,,,Y,,,,,10:00 AM,2:00 PM,,,,,,,,
1003449,Calabasas Old Town Farmers Market,Farmers Market,Calabasas & Mulholland Dr.,Calabasas,California,91303,(818) 591-8161,,,,,,,-118.636,34.1587,,,,,,,,,,,,8:00 AM,1:00 PM,,
