X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,name,address,addrln2,city,state,hours,phone,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.553790756029684,34.239200536428356,47862131,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Northridge Certified Farmers' Market And Family Festival,9301 Tampa Ave,Northridge Fashion Center,Northridge,CA,"SITE HOURS: April through October, Wednesday, 5:00pm to 9:00pm. ",Mark Rochin Service/Intake and Administration (805) 643-6458,www.cafarmersmarkets.com,,,60938,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91324,http://egis3.lacounty.gov/lms/?p=60938,publish,34.239201,-118.553791,,2013-06-01T11:50:56.000Z,,6394296.088912,1909890.99972
-118.157349056902873,34.115745967021887,47862132,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,South Pasadena Certified Farmers' Market,Meridan Ave. & Mission St.,,South Pasadena,CA,"SITE HOURS: March through December, Thursday, 4:00pm to 8:00pm; January and February, Thursday, 4:00pm to 7:00pm. ",Greta Dunlap Service/Intake and Administration (626) 403-2820,www.cafarmersmarkets.com,,,60953,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91030,http://egis3.lacounty.gov/lms/?p=60953,publish,34.115746,-118.157349,,2013-06-01T11:50:56.000Z,,6514043.599745,1864539.849937
-118.185610456500754,33.942065677457158,47862133,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,South Gate Certified Farmers' Market,4855 Tweedy Blvd,South Gate Park| Parking Lot 3,South Gate,CA,,"Fannie Coates Earl Service/Intake and Administration (310) 635-7938, Dale Whitney Service/Intake (562) 983-1665",www.cafarmersmarkets.com,,,60957,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90280,http://egis3.lacounty.gov/lms/?p=60957,publish,33.942066,-118.18561,,2013-06-01T11:50:56.000Z,,6505372.678767,1801348.815558
-118.497698855459348,34.016990246682759,47862134,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Santa Monica Saturday Certified Farmers' Market,Arizona Ave & 3Rd St Prom,,Santa Monica,CA,,Mort Bernstein Service/Intake and Administration (310) 458-8712,www.cafarmersmarkets.com,,,60962,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90401,http://egis3.lacounty.gov/lms/?p=60962,publish,34.01699,-118.497699,,2013-06-01T11:50:56.000Z,,6410848.411451,1828936.849293
-118.422500256228361,34.146325526263873,47862135,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Studio City Certified Farmers' Market,Ventura Blvd & Ventura Blvd, ,Studio City,CA,,Carole Gallegos Service/Intake and Administration (818) 655-7744,www.cafarmersmarkets.com,,,60974,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91604,http://egis3.lacounty.gov/lms/?p=60974,publish,34.146326,-118.4225,,2013-06-01T11:50:56.000Z,,6433834.174206,1875899.698936
-118.374867055801857,33.776661967604284,47862136,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Palos Verdes Certified Farmers' Market,Hawthorne Blvd. & Silver Spur Rd.,Peninsula Center,Rolling Hills Estates,CA,,"Brian Weiss &amp; Carri Jackson Service/Intake and Administration (310) 324-3994",www.cafarmersmarkets.com,,,60979,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90274,http://egis3.lacounty.gov/lms/?p=60979,publish,33.776662,-118.374867,,2013-06-01T11:50:56.000Z,,6447744.80813,1741314.726637
-118.142882057048922,34.155069966867302,47862137,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Pasadena Villa Parke Certified Farmers' Market,363 E. Villa St.,,Pasadena,CA,,Gretchen Sterling Service/Intake and Administration (626) 449-0179,www.cafarmersmarkets.com,,,60994,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91101,http://egis3.lacounty.gov/lms/?p=60994,publish,34.15507,-118.142882,,2013-06-01T11:50:56.000Z,,6518442.84029,1878844.022444
-118.437915455668076,34.157126326773991,47867408,211,,Community Groups,Farmers Markets,,,Woodman Avenue Certified Farmers' Market,14006 Riverside Dr,Westfield Sherman Oaks parking lot,Sherman Oaks,CA,"Tuesday, 3:00pm to 8:00pm. ",Phillip Dane Service/Intake (866) 966-9495,www.cafarmersmarkets.com,,,71471,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91423,http://egis3.lacounty.gov/lms/?p=71471,publish,34.157126,-118.437915,,2010-11-01T11:50:56.000Z,,6429187.140521,1879850.232374
-118.449390155431075,34.057009486524706,47867409,211,,Community Groups,Farmers Markets,,,Westwood Certified Farmers' Market,11000 Wilshire Blvd,United States Veterans Administration - Vets Garden,Los Angeles,CA,"Thursday, 12:00pm to 6:00pm. ",Jen or Mark Wall Service/Intake (310) 861-8188,www.cafarmersmarkets.com,,,71495,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90024,http://egis3.lacounty.gov/lms/?p=71495,publish,34.05701,-118.44939,,2010-11-01T11:50:56.000Z,,6425552.817409,1843431.52798
-118.262963856032357,33.786706987706495,47867410,211,,Community Groups,Farmers Markets,,,Wilmington Certified Farmers' Market,N Avalon Blvd & E L St,,Wilmington,CA,"Thursday, 9:00am to 1:00pm. ",Lee Ostendorf Service/Intake (562) 449-9299,www.cafarmersmarkets.com,,,71496,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90744,http://egis3.lacounty.gov/lms/?p=71496,publish,33.786707,-118.262964,,2010-11-01T11:50:56.000Z,,6481762.688257,1744862.481681
