,name,hours
0,Fred Jordan Mission,Monday - Friday 12:00 PM - 1:00 PM
1,Our Lady Queen of Angels Catholic Church,Friday 8:00 AM - 11:00 AM
2,Salvation Army- L.A. Central Corp,Monday - Thursday 9:00 AM - 12:00 PM & 1:00 PM - 4:00 PM
3,Central City Neighborhood Partners,Tuesday 10:00 AM-1:00 PM
4,Catholic Charities- Brownson House,Monday - Friday 9:30 AM - 1:00 PM
5,All Peoples Christian Center,Friday 12:00 PM - 5:00 PM
6,White Memorial S.D.A. Church,1st &3rd Tuesday 10:00 AM - 12:00 PM
7,Spanish American S.D.A. Church,Wednesday 6:00 PM - 7:30 PM
8,Visions Community Outreach,2nd & 4th Saturday 10:00 AM - 12:00 PM
9,Young Hwa United Methodist Church,2nd & 4th Saturday 3:00 PM - 3:45 PM
10,St. Francis Center,"Tuesday, Wednesday, Thursday & Saturday 11:00 AM - 12:30 PM"
11,St. Francis Center,Friday 2:30 PM 4:00 PM
12,Chinese Community Service Center,11/1 at 9:00 AM - 12:00 PM
13,Los Angeles Central City S.D.A. Church,3rd Tuesday 12:00 PM - 2:00 PM
14,St. Philip&#8217;s Episcopal Church,2nd & 4th Tuesday 7:30 AM - 8:30 AM
15,Filipino Christian Church,2nd & 4th Saturday 10:00 AM - 11:00 AM
16,Star Christian School,2nd Thursday 6:30 PM - 7:30 PM & 4th Saturday 8:00 AM - 9:00 AM
17,Our Lady of Talpa Church,3rd Tuesday 1:00 PM - 3:00 PM
18,St. John&#8217;s Cathedral-Hope Net,1st & 3rd Saturday 10:30 AM - 11:30 AM
19,St. Vincent de Paul Church,Thursday 8:00 - 11:00 AM
20,St. Athanasius &#038; St. Paul Church,Friday 8:00 AM - 10:30 AM
21,Iglesia Pentecostes Roca de Salvacion,Saturday 3:00 PM - 4:00 PM & Sunday 1:00 PM - 2:00 PM
22,Estrella Del Mar De Los Angeles- Regis House Community Center,Wednesday 9:00 AM - 10:30 AM
23,Central Spanish S.D.A. Church,4th Saturday 5:00 PM - 6:00 PM
24,Masjid Bilal Islamic Center,Tuesday 10:00 AM-12:00 PM
25,Sacred Heart Church,1st & 3rd Thursday 10:00 AM - 12:30 PM
26,Estrada Courts Community Center,2nd & 4th Wednesday 8:00 AM - 10:00 AM
27,Los Angeles Housing Partnership,2nd Friday 3:30 PM-5:00 PM
28,East LA Community Corporation,3rd Wednesday 9:00 AM - 11:00 AM
29,Church of the Epiphany,2nd & 4th Friday 10:30 AM - 11:30 AM
30,Los Angeles Boys &#038; Girls Club,Thursday 5:00 PM - 6:00 PM
31,First Baptist Church-Hope Net,Friday 8:00 AM - 9:30 AM
32,First Unitarian Church-Hope Net,Saturday 8:00 AM - 10:00 AM
33,St. Agnes Parish,"Monday, Tuesday, Thursday, Friday 9:00 AM - 10:30 AM"
34,Crusaders for Christ Baptist Church,Friday 3:30 PM - 5:00 PM
35,St. Francis Center,Wednesday 11:30 AM-1:00 PM
36,Islamic Center of Southern CA-Hope Net,Saturday 11:00 AM - 12:00 PM
37,Victory Baptist Church,Friday 7:30 AM - 9:30 AM
38,Immanuel Presbyterian Church-Hope Net,Saturday 9:30 AM - 11:30 AM
39,Los Angeles First Church of the Nazarene-Hope Net,Friday 4:00 PM - 6:00 PM
40,St. Thomas Center,"1st, 2nd & 3rd Saturday 7:00 AM - 9:00 AM"
41,St. Mark Missionary Baptist,Wednesday 9:00 AM - 10:00 AM
42,Salvation Army- East L.A.,Monday - Friday 9:00 AM - 12:00 PM & 12:30 PM - 4:00 PM
43,Good News Central Church,1/7 & 1/21 at 8:30 AM -11:00 AM
44,HOAP Inc.,Thursday 10:30 AM - 12:30 PM
45,Holy Cross Center,"Monday, Wednesday, Friday 9:00 AM - 11:00 AM"
46,Guadalupe Food Program,2nd & 4th Wednesday 7:00 AM - 9:00 AM
47,Food Net- East Los Angeles Center,"Monday, Tuesday, Friday 9:30 AM - 12:00 PM; 1:30 PM - 4:00 PM"
48,First African Methodist Episcopal Church,4th Saturday 9:00 AM - 12:00 PM
49,University S.D.A. Church,Wednesday 1:00 PM - 2:30 PM
50,Wilshire Boulevard Temple Hope-Net,Sunday 8:30 AM - 9:30 AM
51,Normandie Community Development Food Pantry,4th Saturday 11:45 AM - 1:00 PM
52,Rosewood Revitalization Group,3rd Friday 3:30 - 4:30 PM
53,Christ Gospel Prayer Center,Wednesday 11:00 AM - 1:30 PM
54,Wesley United Methodist Church,2nd & 4th Thursday 10:30 AM - 12:00 PM
55,Los Angeles Housing Partnership,1st Friday 3:30 PM -4:30 PM
56,Iglesia Cristiana El Shaddai USA,Tuesday and Friday 7:00 PM-9:00 PM
57,Wilshire Presbyterian Church-Hope Net,Monday 11:00 AM - 12:00 PM
58,Iglesia del Nazareno Elysian Park,4th Tuesday 4:00 PM - 6:00 PM
59,St. James Episcopal Church-Hope Net,Thursday 8:00 AM - 9:00 AM
60,Our Lady of Guadalupe Church,"Monday, Wednesday and 2nd & 4th Thursday 8:00 AM - 9:00 AM"
61,The Great Vision Church,1st & 3rd Saturday 7:00 AM - 8:00 AM
62,St. Cecilia Catholic Church,3rd Saturday 9:00 AM - 10:30 AM
63,Charismatic Ecumenical Ministries International,"1st, 2nd & 3rd Sunday 1:00 PM - 2:00 PM"
64,Vision of Hope Outreach Ministry,2nd & 4th Saturday 3:00 PM - 4:00 PM
65,Catholic Charities of L.A.,"Monday, Wednesday, Thursday, Friday 11:00 -12:00 PM & 1:00 PM - 3:00 PM"
66,Figueroa Church of Christ,Tuesday 7:30 AM - 11:30 AM
67,Presentation of Mary Catholic,3rd Saturday 7:30 AM - 8:30 AM
68,Trinity Baptist Church L.A.,Wednesday 9:30 AM - 10:45 AM
69,Food Net-Centro Maravilla,"Monday, Tuesday, Friday 8:30 AM - 4:00 PM"
70,Southeast Churches Service Center,Monday - Friday 9:00 AM -12:00 PM & 1:00 PM - 4:00 PM
71,Immaculate Heart of Mary-Hope Net,Monday 11:00 AM - 12:00 PM
72,Salvation Army Southeast Comm. Corp,Thursday 1:00 PM - 3:00 PM
73,Hollywood Community Housing,Thursday 3:30 PM - 5:30 PM & Friday 11:30 AM - 1:30 PM
74,Cory&#8217;s Kitchen-El Sereno,Monday 4:30 PM - 6:30 PM
75,"Ananda Marga of L.A., Inc.",Thursday 9:30 AM - 10:30 AM
76,Pilgrim&#8217;s Hope Baptist Church,2nd Wednesday 9:00 AM - 11:00 AM
77,Hope International Bible Fellowship,2nd Saturday 9:00 AM - 10:00 AM
78,Pentecostal Church of God,Wednesday 3:00 PM - 5:00 PM
79,Travelers Rest Missionary B.C.,Wednesday 11:00 AM - 1:00 PM
80,Praise Chapel Florence Community Church,Thursday 11:00 AM-2:00 PM
81,Silverlake Community Church-Hope Net,Wednesday 5:30 PM - 6:30 PM
82,Metropolitan Community Church of L.A.-Hope Net,Saturday 9:00 AM - 11:00 AM
83,All Saints Conference,1/13 & 1/27 at 3:00 PM- 5:00 PM
84,Children&#8217;s Hospital Los Angeles,Wednesday 10:00 - 11:00 AM
85,City of Maywood,4th Thursday 1:00 PM - 3:00 PM
86,Iglesia la Puerta Abierta,Wednesday 7:00 PM - 7:30 PM
87,Hollywood Lutheran Church,Wednesday 11:00 AM - 12:30 PM
88,Gospel Mission Baptist Church,4th Wednesday 11:00 AM - 12:00 PM
89,Iglesia de la Communidad Presbyterian Church,1st & 3rd Thursday 10:30 AM - 11:30 AM
90,Esmirna Pentecostal Church,Friday 4:00 PM - 6:00 PM
91,St. Brigid Catholic Church,3rd Friday 9:30 AM - 11:00 AM
92,Berean S.D.A. Church,3rd Thursday 9:00 AM - 11:00 AM
93,United Gospel Outreach,Friday 1:00 PM - 2:00 PM
94,Greater New Morning Star Baptist Church,Saturday 8:00 AM - 11:00 AM
95,Salvation Army- South L.A.,"Monday, Tuesday, Thursday, Friday 9:00 AM -12:45 PM & 2:15 PM -4:45 PM & Wednesday 2:15 PM - 4:45 PM"
96,Holy Virgin Mary Coptic Orthodox Church,1/18 at 4:00 PM -6:00 PM
97,Estelle Van Meter Multipurpose,1st & 3rd Wednesday 10:30 AM - 11:30 AM
98,Good News Missionary Baptist Church,4th Thursday 11:00 AM - 1:00 PM
99,Door of Hope Community Center,Monday & Thursday 9:00 AM - 11:00 AM
100,Food Net-Florence Firestone Center,2nd Tuesday 9:00 AM - 1:00 PM
101,Testimonial Community Love Center,Thursday 8:30 AM - 10:30 AM
102,Fifty Fourth Street S.D.A. Church,2nd & 4th Tuesday 8:00 AM - 10:00 AM
103,All Saints Episcopal Church Highland Park,3rd Saturday 8:30 AM - 10:00 AM
104,Bread of Life Foursquare Gospel Church,Sunday & Wednesday 3:00 PM - 4:00 PM
105,First Presbyterian Church,1st Sunday 1:00 PM - 2:00 PM & 3rd Saturday 9:00 AM - 11:00 AM
106,West Angeles Community Corporation,Monday - Thursday 9:00 AM - 1:00 PM
107,Family Mennonite Church,2nd Sunday 1:00 PM - 1:30 PM
108,Hollywood West Tenant Action Committee,3rd Friday 4:00 PM - 6:00 PM
109,International Families Association,Monday 2:00 PM - 5:00 PM
110,Eastmont Community Center,Monday - Friday 9:00 AM - 11:00 AM
111,Los Angeles Housing Partnership,3rd Friday 3:30 PM - 4:30 PM
112,East L.A. Bilingual S.D.A. Church,"Wednesday 5:30 PM - 6:30 PM, 1st & 3rd Saturday 12:00 PM - 12:45 PM"
113,First Southern Baptist Church of Hollywood,Friday 5:00 PM - 6:00 PM & 1st Saturday 12:00 PM - 1:00 PM
114,Children of the Shepherd,3rd Saturday 11:00 AM - 12:00 PM
115,Christ the Good Shepherd Episcopal,4th Friday 10:00 AM - 1:00 PM
116,City of Commerce Community Center,3rd Thursday 10:30 AM - 1:00 PM
117,Holy Way Church,Thursday 10:00 AM-12:00 PM
118,Grace Presbyterian Church,2nd & 4th Friday 7:30 AM - 9:00 AM
119,Bethel Unspeakable Joy Christian Church,2nd & 4th Saturday 8:00 AM - 9:00 AM
120,Principe de Paz,2nd & 4th Thursday 11:00 AM - 1:00 PM
121,Bethesda Temple Church,4th Saturday 9:00 AM - 11:00 AM
122,Calvary Chapel Glendale,2nd & 4th Thursday 7:00 PM - 8:00 PM
123,Islah L.A.,Saturday 10:00 AM - 12:00 PM
124,West Adams Church of Christ,4th Friday 10:00 AM - 11:00 AM & 3rd Saturday 12:00 PM - 2:00 PM
125,Loaves &#038; Fishes-Glendale,"Monday, Tuesday, Wednesday, Friday 10:00 AM - 12:00 PM & 1:15 PM -3:30 PM"
126,Crenshaw United Methodist Church,3rd Saturday 10:00 AM - 12:00 PM
127,CCC Ebenezery Parish,Saturday 11:00 AM - 1:30 PM
128,Eastmont S.D.A. Spanish Church,Monday 7:30 PM - 8:00 PM
129,Iglesia Macedonia Defenders of the Christian Faith,Tuesday 7:00 PM - 8:00 PM
130,Iglesia Macedonia Defenders of the Christian Faith,"Monday 6:45 PM-7:30 PM, Tuesday & Thursday 7:30 PM - 8:15 PM"
131,Good News Prayer Center,3rd Saturday 10:00 AM - 12:00 PM
132,Mexican-American Opportunity Foundation,Wednesday & Thursday 9:00 AM - 1:00 PM
133,Mision Cristiana Monte de Sion,Tuesday 8:30 PM - 9:30 PM
134,Indian Revival Church,3rd Sunday 1:00 PM-3:00 PM
135,Blessed Sacrament Food Pantry-Hope Net,Saturday 9:00 AM - 12:00 PM
136,My Friends House,Wednesday 9:00 AM - 11:00 AM
137,International Families Association,Wednesday 2:00 PM - 5:00 PM
138,Bethel AME Church,Wednesday 7:30 AM - 11:30 AM
139,Glendale Filipino S.D.A. Church,2nd Wednesday 11:00 AM - 12:00 PM
140,St. Helen Church,4th Saturday 8:00 AM - 10:00 AM
141,Hathaway Children &#038; Family Services,2nd & 4th Saturday 2:00 PM - 3:00 PM
142,New Direction Community Program,Sunday 2:30 PM-3:30 PM & Saturday 2:00 PM-3:00 PM
143,Robbins Memorial Church of God in Christ,1st Wednesday 8:00 AM - 9:00 AM
144,S.V.P. All Souls Conference,3rd Thursday 3:30 PM - 5:30 PM
145,Greater New Unity Baptist Church,3rd Saturday 8:30 AM - 10:00 AM
146,Holy Family Giving Bank,Monday 9:00 AM - 10:45 AM
147,St. Stephen&#8217;s Community Outreach Program,Saturday 9:30 AM - 11:30 AM
148,St. Lawrence of Brindisi,Tuesday & Thursday 7:00 AM - 8:30 AM
149,Saint Mark Food Pantry,1st & 3rd Wednesday 11:00 AM - 11:30 AM
150,First Baptist Church of Alhambra,Thursday 3:00 PM-5:00 PM
151,First Baptist Church of Alhambra,Tuesday 1:00 PM-3:00 PM & Thursday 3:00 PM-6:00 PM
152,Holy Trinity Church of God in Christ,Saturday 12:00 PM -2:00 PM
153,South Gate S.D.A. Church,Thursday 7:00 PM-8:00 PM
154,Christian Association for Social Services,1st & 3rd Friday & Saturday 10:00 AM - 1:00 PM
155,Zion Hill Baptist Church,1st & 3rd Tuesday 10:00 AM - 12:00 PM
156,Life Deliverance Ministries,Saturday 8:00 AM - 11:00 AM
157,Do Right Christian Church,Friday 3:00 PM-5:00 PM
158,San Miguel Church,Saturday 8:00 AM - 9:30 AM
159,Vallejo Drive S.D.A. Church,3rd Thursday 12:00 PM - 3:00 PM
160,St. Gertrudes Conference,2nd & 4th Friday 9:00 AM - 10:00 AM
161,JFS/SOVA Community Food &#038; Resource Program,Friday 9:00 AM-11:30 AM
162,Central Filipino S.D.A. Church,3rd Tuesday 9:00 AM - 12:00 PM
163,Blood of Jesus Prayer and Deliverance Ministry,Wednesday 3:00 PM - 4:00 PM
164,Maranatha S.D.A. Community Center,2nd & 4th Saturday 2:00 PM - 3:00 PM
165,Missionaries of Charity,Friday 3:00 PM - 5:00 PM
166,Imperial Church of Christ,Saturday 7:00 AM - 8:30 AM
167,Ascension&#8217;s Food Pantry,Last Saturday 9:00 AM - 11:00 AM
168,Chapel of Peace Lutheran Church,3rd Saturday 9:00 AM - 12:00 PM
169,First New Christian Fellowship,Thursday 9:00 AM - 11:00 AM
170,Shields for Families,Thursday 10:00 AM - 2:00 PM
171,Imani Unidos A.I.D.S. Project,2nd & 4th Tuesday - Thursday 10:00 AM - 1:00 PM
172,Belvue Presbyterian Church,1/26 at 10:00 AM -11:00 AM
173,JFS/SOVA Community Food &#038; Resource Program,"Monday, Tuesday, Wednesday, Thursday 10:00 AM-1:30 PM Sunday 9:00 AM-12:00 PM"
174,Christ Centered Ministries Church,3rd Saturday 10:00 AM - 12:30 PM
175,Willowbrook Project Area Commission,2nd Wednesday 5:00 - 7:00 PM & 3rd Saturday 10:00 AM - 12:00 PM
176,San Gabriel Mission,Sunday 8:00 AM - 10:00 AM
177,Breath of Life S.D.A. Church,1st & 3rd Thursday 12:00 PM - 3:00 PM
178,New Region For Christ,Saturday 11:30 AM - 1:00 PM
179,Trinity Chapel,Last Thursday 10:00 AM-1:00 PM
180,"Abundance For All, Inc.","Tuesday 12:00 PM - 3:00 PM, Thursday12:00 PM - 6:00 PM, Saturday 10:00 AM - 12:00 PM"
181,Inglewood Church of Christ,3rd Friday 10:00 AM - 12:00 PM
182,Lynwood All People&#8217;s First Assembly,Friday 8:30 PM - 9:30 PM
183,Food Net-Willowbrook Senior Center,4th Wednesday 10:00 AM - 12:00 PM
184,First Lutheran Church of Inglewood,2nd & 4th Thursday 10:00 AM - 11:30 AM
185,Inglewood Southside Christian Church,2nd Saturday 10:00 AM - 1:00 PM
186,St. Andrew Catholic Church,Saturday 9:00 AM - 11:30 AM
187,WSFB- St. Augustine SAVES,"Monday, Wednesday, Friday 9:00 AM - 11:45 AM"
188,Church of the Nazarene-Rosemead,3rd Saturday 10:00 AM - 12:00 PM
189,People for Community Improvement,2nd & 4th Friday 11:00 AM - 3:00 PM
190,Cory&#8217;s Kitchen-Pio Pico Elementary School,3rd Saturday 1:00 PM - 2:30 PM
191,Greater Emmanuel M.B.C.,Saturday 9:00 AM-11:00 AM & Wednesday 9:00 AM-11:00 AM
192,Lynwood United Methodist Church,Wednesday 9:00 AM - 12:00 PM
193,Lincoln Avenue Baptist Church,3rd Wednesday 10:00 AM - 12:00 PM
194,Salvation Army-Pasadena Tabernacle,Monday - Friday 9:00 AM - 11:00 AM
195,Trinity Evangelical Lutheran Church,Thursday 11:00 AM - 1:00 PM
196,St. Margaret&#8217;s Center,"Monday, Wednesday, Friday 9:00 AM - 12:00 PM & 1:00 PM - 4:00 PM"
197,"Catholic Charities of Los Angeles, Inc.",Monday 9:00 AM - 3:00 PM; Thursday 9:00 AM - 12:00 PM
198,"Catholic Charities of Los Angeles, Inc.",Monday 9:00 AM - 3:00 PM; Thursday 9:00 AM - 12:00 PM
199,Justice Children Deserve,2nd & 4th Friday 11:00 AM - 2:00 PM
200,St. Charles Service Center,Tuesday - Thursday & Saturday 9:00 AM - 11:45 AM
201,Another Chance Outreach Ministry,2nd & 4th Saturday 8:00 AM - 10:00 AM
202,Rehoboth Courage Church,"1st, 2nd & 4th Saturday 11:00 AM-12:00 PM"
203,St. Joseph Catholic Church,2nd Sunday 9:00 AM - 11:00 AM
204,Food Net-Asian Service Center,Monday - Friday 8:00 AM - 4:00 PM
205,Salvation Army Compton Corps,Wednesday 9:30 AM-12:00 PM
206,Ministerio a la Luz de la Palabra,Saturday 10:00 AM - 12:00 PM
207,Ecumenical Council of Pasadena Area Congregations,Tuesday - Wednesday 9:00 AM - 3:00 PM
208,Shield of Faith Christian Center of Pasadena,1st & 3rd Thursday 12:00 PM - 2:00 PM
209,Tamarind Avenue S.D.A. Church,4th Tuesday 9:00 AM -12:00 PM
210,New Jerusalem C.O.G.I.C.,1st & 3rd Friday 10:00 AM - 11:30 AM
211,Foothill Unity Center,"Tuesday 9:00 AM - 11:30, Wednesday & Friday 1:00 PM - 3:30 PM"
212,Food Net-East Rancho Dominguez,"Tuesday, Wednesday & Thursday 9:00 AM - 4:00 PM"
213,WSFB- St. Gerard&#8217;s Social Services,Tuesday & Thursday 9:00 AM - 12:00 PM & 1:00 PM - 5:00 PM
214,New Rock of Ages Baptist Church,Sunday 12:00 PM - 3:00 PM & Wednesday 6:00 PM -7:30 PM
215,Burbank Temporary Aid Center,Monday - Friday 9:00 AM - 12:00 & 1:30 PM - 5:00 PM
216,Tongan Community Service Center,1st & 3rd Tuesday 7:00 AM - 9:00 AM
217,New Life Community Church,2nd & 4th Wednesday 2:00 PM -3:30 PM
218,Dae Hueng Presbyterian Church,3rd Saturday 9:00 AM - 11:00 AM
219,Lady Bug Ministry,Last Tuesday 9:00 AM - 10:00 AM
220,St. Luke Catholic Community,1/27 at 1:00 PM -2:00 PM
221,North Hollywood Interfaith Food Pantry,Monday & Friday 8:30 AM - 1:00 PM
