,Unnamed: 0,address,category,city,hours,latitude,longitude,name,phone,state,zip
0,0,2609 N. Lincoln Avenue,Food Pantry,Altadena,,34.1906878,-118.1593398,Altadena S.D.A. Church,626.794.3953,CA,91001
1,1,4171 Tyler Avenue,Food Pantry,El Monte,,34.0827886,-118.031897,Catholic Charities- Region 2,626.575.7652,CA,91731
2,2,7005 S. Western Avenue,Food Pantry,Los Angeles,,33.9759966,-118.3092608,Ephesus S.D.A. Church,323.759.3993,CA,90047
3,3,701 Hoefner Avenue,Food Pantry,Los Angeles,,34.0209713,-118.1500876,Eastmont Community Center,323.726.7998,CA,90022
4,4,7215 Newlin Avenue,Food Pantry,Whittier,,33.9768912,-118.0412114,St. Mary's Place,562.698.0107,CA,90602
5,5,1835 S. Hope Street,Food Pantry,Los Angeles,,34.0339876,-118.2697209,St. Francis Center,213.747.5347,CA,90015
6,6,10900 Mulhall Street,Food Pantry,South El Monte,,34.0888812,-118.0288381,El Monte/South Emergency,626.444.7269,CA,91731
7,7,444 East Washington Boulevard,Food Pantry,Pasadena,,34.1687151,-118.1413359,Ecumenical Council of Pasadena Area Congregations,626.797.2402,CA,91104
8,8,4211 W. Adams Boulevard,Food Pantry,Los Angeles,,34.0329576,-118.3310595,Berean S.D.A. Church,323.735.0228,CA,90018
9,9,10122 Compton Avenue,Food Pantry,Los Angeles,,33.9443922,-118.2459688,St. Lawrence of Brindisi,323.567.1439,CA,90002
10,10,4390 Colfax Avenue,Food Pantry,North Hollywood,,34.1501988,-118.3872632,North Hollywood Interfaith Food Pantry,818.760.3575,CA,91604
11,11,24133 Railroad Avenue,Food Pantry,Newhall,,34.3765012,-118.5252054,Santa Clarita Valley Food Pantry,661.255.9078,CA,91321
12,12,2727 W.  Pico Boulevard,Food Pantry,Los Angeles,,34.0243687,-118.4608522,St. Thomas Center,323.737.3325,CA,90006
13,13,21430 Strathern Street,Food Pantry,Canoga Park,,34.214903,-118.5986508,Lutheran Social Services of Southern California,818.901.9480,CA,91304
14,14,417 S. Tamarind Avenue,Food Pantry,Compton,,33.892572,-118.2220425,Tamarind Avenue S.D.A. Church,310-386-8803,CA,90220
15,15,2780 E. Gage Avenue,Food Pantry,Huntington Park,,33.9814503,-118.2202826,Southeast Churches Service Center,323.585.8254,CA,90255
16,16,3569 W. Manchester Blvd.,Food Pantry,Inglewood,,33.9602274,-118.3348393,Maranatha S.D.A. Community Center,323.971.3511,CA,90305
17,17,7747 Foothill Boulevard,Food Pantry,Tujunga,,34.2577962,-118.3009158,Sunland Tujunga T.A.C.,818.352.2421,CA,91042
18,18,2740 Mountain View Road,Food Pantry,El Monte,,34.0602394,-118.0239073,Boys & Girls Club-San Gabriel,626.442.5470,CA,91732
19,19,4665 Willow Brook Avenue,Food Pantry,Los Angeles,,34.0896046,-118.2934993,Catholic Charities of L.A.,213.251.3597,CA,90029
20,20,1921 N. Garey Avenue,Food Pantry,Pomona,,34.0812428,-117.7531627,Bethel S.D.A. Church,909.630.5883,CA,91767
21,21,11819 Burke Street,Food Pantry,Sante Fe Springs,,33.962938,-118.0650479,Interfaith Food Center,562.903.1478,CA,90670
22,22,415 W. Chestnut Avenue,Food Pantry,Monrovia,,34.1427592,-118.0081715,Foothill Unity Center,626.359.1777,CA,91016
23,23,1135 Martin Luther Kin Jr. Boulevard,Food Pantry,Los Angeles,,34.0111729,-118.2955869,University S.D.A. Church,323.766.9889,CA,90037
24,24,1809 West Boulevard.,Food Pantry,Los Angeles,,34.0405644,-118.3372555,First Presbyterian Church,323.935.5204,CA,90019
25,25,535 N. Main Street,Food Pantry,Los Angeles,,34.05707,-118.239577,Our Lady Queen of Angels Catholic Church,213.629.3101,CA,90012
26,26,1000 E.Walnut Street,Food Pantry,Pasadena,,34.1493046,-118.1297902,Salvation Army-Pasadena Tabernacle,626.773.4400,CA,91106
27,27,2808 Altura Street,Food Pantry,Los Angeles,,34.0752843,-118.21285,Church of the Epiphany,323.227.9931,CA,90031
28,28,3739 North Monterey Avenue,Food Pantry,Baldwin Park,,34.0802977,-117.9766557,Church of the Redeemer,626.960.9585,CA,91706
29,29,104 W. 47th Place,Food Pantry,Los Angeles,,33.9997088,-118.2742456,Holy Cross Center,323.232.3333,CA,90037
30,30,11901 S. Willowbrook Avenue,Food Pantry,Los Angeles,,33.9244622,-118.23627,Willowbrook Project Area Commission,323-569-7676,CA,90059
31,31,2625 S. Vermont Avenue,Food Pantry,Los Angeles,,34.0320812,-118.2918201,St. Agnes Parish,323-731-2464,CA,90007
32,32,4368 Santa Anita Avenue,Food Pantry,EL Monte,,34.0853655,-118.0293332,Our Saviour Center,626.579.2190,CA,91731
33,33,21600 Hart Street,Food Pantry,Canoga Park,,34.1973704,-118.6002723,Loaves & Fishes-Canoga Park,818.340.2050,CA,91303
34,34,822 E. 20th Street,Food Pantry,Los Angeles,,34.0257601,-118.256703,All Peoples Christian Center,213-747-6357,CA,90011
35,35,1973 West 54th Street,Food Pantry,Los Angeles,,33.9935442,-118.3134514,Fifty Fourth Street S.D.A. Church,323-292-2762,CA,90062
36,36,5700 Rudnick Avenue,Food Pantry,Woodland Hills,,34.1732527,-118.6120677,Prince of Peace Coalition,818-346-5554,CA,91367
37,37,3903 Wilshire Boulevard,Food Pantry,Los Angeles,,34.062042,-118.3119697,St. James Episcopal Church-Hope Net,323-934-5870,CA,90010
38,38,840 Echo Park Avenue,Food Pantry,Los Angeles,,34.0733551,-118.2591402,St. Athanasius & St. Paul Church,213.908.8827,CA,90026
