name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close,Year_Round (Y/N),season_open,season_close
All Peoples Christian Center,822 E. 20th Street,,Los Angeles,CA,90011,(213)747-6357,34.0257601,-118.256703,Food Pantry,https//allpeoplescc.org/,,Fri,1200,1700,,,,,,,,,,,,,,,,,,,,,
All Saints Conference,3431 Portola Avenue,,Los Angeles,CA,90032,(323)675-4873,34.0856924,-118.1729264,Food Pantry,,,Fri2nd,1500,1700,Fri4th,1500,1700,,,,,,,,,,,,,,,,,,
All Saints Episcopal Church Highland Park,5619 Monte Vista Street,,Los Angeles,CA,90042,(323)255-6806,34.1117075,-118.1953492,Food Pantry,http//www.allsaintsla.net/,,Sat4th,0830,0900,,,,,,,,,,,,,,,,,,,,,
Altadena S.D.A. Church,2609 N. Lincoln Avenue,,Altadena,CA,91001,(626)794-3953,34.1906878,-118.1593398,Food Pantry,http//altadenasdafamily.org/,,Tue2nd,0900,1200,Tue4th,0900,1200,,,,,,,,,,,,,,,,,,
"Ananda Marga of L.A., Inc.",1245 S. Norton Avenue,,Los Angeles,CA,90019,(818)414-7737,34.0483572,-118.3238487,Food Pantry,,,Thu,0930,1030,,,,,,,,,,,,,,,,,,,,,
Ascension's Food Pantry,517 W. 112th Street,,Los Angeles,CA,90044,(323)754-2978,33.933076,-118.282984,Food Pantry,,,SatLast,0900,1100,,,,,,,,,,,,,,,,,,,,,
Baldwin Park Bilingual S.D.A.,13965 East Ramona Parkway,,Baldwin Park,CA,91706,(626)338-4828,34.085323,-117.969546,Food Pantry,,,Wed,1830,1930,,,,,,,,,,,,,,,,,,,,,
Belvue Presbyterian Church,675 E. 118th Street,,Los Angeles,CA,90059,(323)757-9188,33.9267262,-118.2624581,Food Pantry,,,Thu3rd,1000,1100,,,,,,,,,,,,,,,,,,,,,
Berean S.D.A. Church,4211 W. Adams Boulevard,,Los Angeles,CA,90018,(323)735-0228,34.0329576,-118.3310595,Food Pantry,,,Thu3rd,0900,1100,,,,,,,,,,,,,,,,,,,,,
Bethel AME Church- Richard Allen Center,7919 S.  Western Avenue,,Los Angeles,CA,90047,(323)750-3240,33.9666659,-118.309331,Food Pantry,,,Wed,0730,1130,,,,,,,,,,,,,,,,,,,,,
Bethel S.D.A. Church,1921 N. Garey Avenue,,Pomona,CA,91767,(909)630-5883,34.0812428,-117.7531627,Food Pantry,,,Sun1st,1100,1300,Sun3rd,1100,1300,,,,,,,,,,,,,,,,,,
Bethel Unspeakable Joy Christian Church,8724 S. Central Avenue,,Los Angeles,CA,90002,(323)585-5939,33.9585498,-118.256075,Food Pantry,,,Sat2nd,0800,1000,Sat4th,0800,1000,,,,,,,,,,,,,,,,,,
Bethesda Temple Church,4915 Crenshaw Boulevard,,Los Angeles,CA,90043,(323)299-2591,33.9979589,-118.3308714,Food Pantry,,,Sat4th,1300,1500,,,,,,,,,,,,,,,,,,,,,
Blessed Sacrament Food Pantry-Hope Net,6657 Sunset Blvd.,,Hollywood,CA,90028,(323)874-5577,34.0985135,-118.3351039,Food Pantry,,,Sat,0900,1200,,,,,,,,,,,,,,,,,,,,,
Blood of Jesus Prayer and Deliverance Ministry,11001 S. Broadway,,Los Angeles,CA,90061,(323)752-3048,33.935441,-118.278724,Food Pantry,,,Wed,1500,1600,,,,,,,,,,,,,,,,,,,,,
Bread of Life Community Outreach,628 South Street,,Long Beach,CA,90805,(562)428-5422,33.8584858,-118.0929072,Food Pantry,http//www.longbeachbreadoflife.com,,Wed2nd,0830,1200,Wed4th,0830,1200,,,,,,,,,,,,,,,,,,
Breath of Life S.D.A. Church,425 S. La Brea,,Inglewood,CA,90301,(310)837-8782,33.9582157,-118.3536215,Food Pantry,http//www.breathla.org,,Thu1st,1200,1500,Thu3rd,1200,1500,,,,,,,,,,,,,,,,,,
Burbank Temporary Aid Center,1304 W. Burbank Blvd.,,Burbank,CA,91506,(818)848-2822,34.1825214,-118.3260622,Food Pantry,http//www.burbanktemporaryaidcenter.org,,Mon,0900,1700,Tue,0900,1700,Wed,0900,1700,Thu,0900,1700,Fri,0900,1700,,,,,,,,,
Calvary Presbyterian Church,13560 Hawthorne Boulevard,,Hawthorne,CA,90250,(310)676-1144,33.9088461,-118.3520296,Food Pantry,http//www.calvaryhawthorne.org/Calendar.html,,Sat1st,1200,1500,,,,,,,,,,,,,,,,,,,,,
"Cathloic Charities of Los Angeles, Inc.",123 East 14th Street,,Long Beach,CA,90813,(562)591-1641,33.7840547,-118.1916668,Food Pantry,http//catholiccharitiesla.org/where-we-are/program-directory-by-city/,,Tue,0930,1500,Thu,0930,1500,,,,,,,,,,,,,,,,,,
Catholic Charities of L.A.,4665 Willow Brook Avenue,,Los Angeles,CA,90029,(213)251-3597,34.0896046,-118.2934993,Food Pantry,http//catholiccharitiesla.org/where-we-are/program-directory-by-city/,,Mon,1000,1500,Tue,1000,1500,Wed,1000,1500,Thu,1000,1500,Fri,1000,1500,,,,,,,,,
"Catholic Charities of Los Angeles, Inc.",5014 Passons Blvd,,Pico Rivera,CA,90660,(562)949-0937,33.9980359,-118.0777582,Food Pantry,http//catholiccharitiesla.org/where-we-are/program-directory-by-city/,,Mon,0900,1200,Tue,0900,1200,Wed,0900,1200,Thu,0900,1200,,,,,,,,,,,,
