name	Address_1	Address_2	City	State	Zip	Phone	latitude	longitude	Category	Website		daycode1	day1_open	day1_close	daycode2	day2_open	day2_close	daycode3	day3_open	day3_close	daycode4	day4_open	day4_close	daycode5	day5_open	day5_close	daycode6	day6_open	day6_open	daycode7	day7_open	day7_close	Year_Round (Y/N)	season_open	season_close
San Pedro Temple Corps	138 S. Bandini Street		San Pedro	CA	90731	(310)832-7228	33.7426596	-118.2986098	Food Pantry			Fri	9:00 AM	12:00 PM	Fri	2:00 PM	3:00 PM																		
Grace Evangelical Free Church of La Mirada	12717 Santa Gertrudes Avenue		La Mirada	CA	90638	(562)943-3791	33.915754	-117.995356	Food Pantry			Fri	4:00 PM	6:00 PM																					
Lynwood All People's First Assembly	4330 Martin Luther King Jr. Boulevard		Lynwood	CA	90262	(310)639-2010	33.9211561	-118.1884331	Food Pantry			Fri	8:30 PM	9:30 PM																					
H.O.P.E. Helping Other People Excel	11163 S. Central Avenue		Los Angeles	CA	90059	(323)567-8524	33.933305	-118.254577	Food Pantry			Fri	9:00 AM	11:00 AM																					
Missionaries of Charity	10950 California Avenue		Lynwood	CA	90262	(310)635-3264	33.9334265	-118.2080294	Food Pantry			Fri	3:30 PM	5:00 PM																					
Iglesia Cristiana El Shaddai USA	5518 S. Broadway		Los Angeles	CA	90037	(323)235-5988	33.9921017	-118.2779982	Food Pantry			Fri	7:30 PM	9:00 PM																					
Victory Baptist Church	4802 South McKinley Avenue		Los Angeles	CA	90011	(323)231-2424	33.9999755	-118.2603428	Food Pantry			Fri	8:00 AM	11:30 AM																					
All Peoples Christian Center	822 E. 20th Street		Los Angeles	CA	90011	(213)747-6357	34.0257601	-118.256703	Food Pantry	https://allpeoplescc.org/		Fri	12:00 PM	5:00 PM																					
San Gabriel Valley Y.W.C.A.	510 N. Vineland Avenue		La Puente	CA	91746	(626)333-0294	34.051539	-117.986823	Food Pantry			Fri	9:00 AM	11:00 AM																					
Our Lady Queen of Angels Catholic Church	535 N. Main Street		Los Angeles	CA	90012	(213)629-3101	34.05707	-118.239577	Food Pantry			Fri	8:00 AM	11:00 AM																					
First Baptist Church-Hope Net	760 S. Westmoreland Avenue		Los Angeles	CA	90005	(213)384-2151	34.0582323	-118.2886022	Food Pantry	http://fbcofla.org/community-outreach/hope-net/		Fri	8:00 AM	9:30 AM																					
Pilipino Worker Center of Southern California	153 Glendale Boulevard		Los Angeles	CA	90026	(213)250-4353	34.0634518	-118.2602462	Food Pantry			Fri	6:00 PM	7:00 PM																					
