name,address,phone,hours,latitude,longitude
All Peoples Christian Center,822 E. 20th Street Los Angeles 90011,213-747-6357,Fri 12pm-5pm,34.0257601,-118.256703
All Saints Conference,3431 Portola Avenue Los Angeles 90032,323.221.5452,2nd & 4th Fri 3pm-5pm,34.0856924,-118.1729264
All Saints Episcopal Church Highland Park,5619 Monte Vista Street Los Angeles 90042,323.255.6806,4th Sat 8:30am-9am,34.1117024,-118.1953454
Ananda Marga of L.A. Inc.,1245 S. Norton Avenue Los Angeles 90019,818.414.7737,Thurs 9:30am-10:30am,34.0483572,-118.3238487
Ascension's Food Pantry,517 W. 112th Street Los Angeles 90044,323.754.2978,Last Sat 9am-11am,33.933076,-118.282984
Belvue Presbyterian Church,675 E. 118th Street Los Angeles 90059,323-757-9188,3rd Thurs 10am-11am,33.9267262,-118.2624581
Berean S.D.A. Church,4211 W. Adams Boulevard Los Angeles 90018,323.735.0228,3rd Thurs 9am-11am,34.0329576,-118.3310595
Bethel AME Church- Richard Allen Center,7919 S. Western Avenue Los Angeles 90047,323.750.3240,Wed 730am-1130am,33.9666659,-118.309331
Bethel Unspeakable Joy Christian Church,8724 S. Central Avenue Los Angeles 90002,323 585-5939,2nd & 4th Sat 8am-10am,33.9585498,-118.256075
Bethesda Temple Church,4915 Crenshaw Boulevard Los Angeles 90043,323.299.2591,4th Sat 1pm-3pm,33.9979589,-118.3308714
Blood of Jesus Prayer and Deliverance Ministry,11001 S. Broadway Los Angeles 90061,323.752.3048,Wed 3pm-4pm,33.935441,-118.278724
Catholic Charities of L.A.,4665 Willow Brook Avenue Los Angeles 90029,323.662.4392,Mon 10am-12pm 1pm-3pm Wed 10am-12pm 1pm-3pm Thurs 10am-12pm 1pm-3pm Fri 10am-12pm 1pm-3pm,34.0896046,-118.2934993
Catholic Charities - Brownson House,1307 Warren Street Los Angeles 90033,323.264.8700,Mon 9am-1pm Tues 9am-1pm Wed 9am-1pm Thurs 9am-1pm Fri 9am-1pm,34.0521281,-118.2201372
CCC Ebenezery Parish,8803-8807 S. Broadway Street Los Angeles 90003,323.752.4400,Sat 11am-130pm,33.9571095,-118.2785568
Central Filipino S.D.A. Church,777 Colorado Boulevard Los Angeles 90041,323-255-7718,3rd Tues 9am-12pm,34.1410086,-118.182682
Central Spanish S.D.A. Church,1366 S. Alvarado Street Los Angeles 90006,818-649-0893,4th Sat 5pm-6pm,34.0456289,-118.283484
Charismatic Ecumencial Ministries International,4357 West 3rd Street Los Angeles 90020,213.219.3228,1st 2nd & 3rd Sun 1pm-130pm,34.0691134,-118.3094234
Childrens Hospital Los Angeles,5000 Sunset Blvd. 7th Floor Los Angeles 90027,323-361-5981,Wed 10am-11am,34.0977874,-118.2986107
Chinese Community Service Center,1725 Beverly Boulevard Suite 1-B Los Angeles 90026,213-483-3035,Sun 9am-12pm 6/1/2015 Tues 9am-12pm 7/1/2015,34.065401,-118.266495
Christ Gospel Prayer Center,4228 S. Vermont Avenue Los Angeles 90037,323.732.1394,Wed 11am-130pm,34.0065425,-118.2912726
Christ the Good Shepherd Episcopal,3303 W. Vernon Avenue Los Angeles 90008,323-295-4139,4th Fri 10am-1pm,34.0040273,-118.3297116
Christian Association for Social Services,5814 Venice Blvd. Los Angeles 90019,323-936-9481,1st & 3rd Fri 10am-1pm 1st & 3rd Sat 10am-1pm,34.0414693,-118.3661612
Church of the Epiphany,2808 Altura Street Los Angeles 90031,323.227.9931,2nd & 4th Fri 1030am-1130am,34.0752843,-118.21285
Cory's Kitchen-El Sereno,4810 Huntington Drive South Los Angeles 90032,323.972.1330,Mon 430pm-630pm,34.0851253,-118.1796924
Cover the Homeless Ministry,4425 S. Central Avenue Los Angeles  90011,323.931.5468,4th Thurs 12pm-1pm,34.0031117,-118.2568599
Crenshaw United Methodist Church,3740 Don Felipe Drive Los Angeles  90008,323.292.0141,3rd Sat 10am-12pm,34.0068523,-118.3408663
Crusaders for Christ Baptist Church,3200 W. Temple Street Los Angeles  90026,323.681.3569,Fri 330pm-5pm,34.0752651,-118.2816342
Do Right Christian Church,9815 S. Vermont Avenue Los Angeles 90044,323.755.1053,1st 2nd & 4th Sat 830am-1030am,33.9463608,-118.2920482
Door of Hope Community Center,1414 South Atlantic Blvd. Los Angeles 90022,323.262.2777,Tues 9am-11am Thurs 9am-11am,34.012313,-118.1590196
East L.A. Bilingual S.D.A. Church,700 Hoefner Avenue Los Angeles 90022,213.804.8087,1st & 3rd Wed 530pm-630pm Sat 12pm-1245pm,34.0209372,-118.1493743
East LA Community Corporation,611 S. Lorena Street Los Angeles 90033,323.269.4214,3rd Fri 9am-11am,34.030634,-118.199474
Eastmont Community Center,701 Hoefner Avenue Los Angeles 90022,323.726.7998,Mon 9am-11am Tues 9am-11am Wed 9am-11am Thurs 9am-11am Fri 9am-11am,34.0209713,-118.1500876
Eastmont SDA Spanish Church,1021 Westside Drive Los Angeles 90022,323.396.7729,Mon 730pm-8pm,34.0136274,-118.1376064
Echo Park United Methodist,1226 N. Alvarado Boulevard Los Angeles 90026,323.731.5472,Wed 2pm-5pm,34.0787092,-118.2624834
