UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Pinchers Liquor,5121 W Pico Blvd,Los Angeles,CA,90019,34.048077,-118.35003
,Grace Liquor,4700 Marine Ave,Lawndale,CA,90260,33.894611,-118.35979
,Golden Liquor,2895 E Colorado Blvd,Pasadena,CA,91107,34.146233,-118.09061
,Helen's Liquor,12512 Atlantic Ave,Lynwood,CA,90262,33.908669,-118.19251
,Rite Aid,446 E Washington Blvd,Los Angeles,CA,90015,34.028896,-118.26023
,Rite Aid,5490 Whittier Blvd,Commerce,CA,90022,34.019257,-118.15211
,Rite Aid,3230 W Slauson Ave,Los Angeles,CA,90043,33.988983,-118.32942
,Rite Aid,11750 Wilmington Ave,Los Angeles,CA,90059,33.926739,-118.23901
,Rite Aid,3550 S la Brea Ave,Los Angeles,CA,90016,34.022045,-118.35556
,Rite Aid,6959 Eastern Ave,Bell Gardens,CA,90201,33.969555,-118.16468
,Rite Aid,7859 Firestone Blvd,Downey,CA,90241,33.944275,-118.14072
,Rite Aid,6360 Pacific Blvd,Huntington Park,CA,90255,33.98196,-118.22517
,Rite Aid,11325 Long Beach Blvd,Lynwood,CA,90262,33.928127,-118.211
,Rite Aid,4410 Slauson Ave,Maywood,CA,90270,33.987221,-118.18687
,Rite Aid,11340 Crenshaw Blvd,Inglewood,CA,90303,33.931572,-118.32635
,Rite Aid,7860 Norwalk Blvd,Whittier,CA,90606,33.973789,-118.07449
,Rite Aid,802 W Beverly Blvd,Montebello,CA,90640,34.017239,-118.106
,Rite Aid,15924 Bellflower Blvd,Bellflower,CA,90706,33.888866,-118.12525
,Rite Aid,5520 Woodruff Ave,Lakewood,CA,90713,33.857174,-118.117
,Rite Aid,8447 Alondra Blvd,Paramount,CA,90723,33.889343,-118.15252
,Rite Aid,2150 S Atlantic Blvd,Monterey Park,CA,91754,34.038574,-118.14468
,Rite Aid,8914 Valley Blvd,Rosemead,CA,91770,34.080753,-118.0749
,Rite Aid,1001 N Central Ave,Compton,CA,90222,33.906586,-118.25458
,Rite Aid,959 Crenshaw Blvd,Los Angeles,CA,90019,34.055092,-118.32283
,Rite Aid,1535 E Florence Ave,Los Angeles,CA,90001,33.974808,-118.24643
,Rite Aid,500 S Broadway,Los Angeles,CA,90013,34.047932,-118.25075
,Rite Aid,1433 Glendale Blvd,Los Angeles,CA,90026,34.080933,-118.26025
,Rite Aid,111 E Avenue 26,Los Angeles,CA,90031,34.076527,-118.21527
,Rite Aid,4322 S Figueroa St,Los Angeles,CA,90037,34.004871,-118.2827
,Rite Aid,1130 N la Brea Ave,West Hollywood,CA,90038,34.091511,-118.34405
,Rite Aid,4044 Eagle Rock Blvd,Los Angeles,CA,90065,34.120735,-118.22722
,Rite Aid,6305 York Blvd,Highland Park,CA,90042,34.114708,-118.18217
,Rite Aid,39 Las Tunas Dr,Arcadia,CA,91007,34.107567,-118.03287
,Rite Aid,1335 Huntington Dr,Duarte,CA,91010,34.139717,-117.97655
,Rite Aid,304 W Huntington Dr,Monrovia,CA,91016,34.140263,-118.00536
,Rite Aid,153 E Gladstone St,Azusa,CA,91702,34.114277,-117.90668
,Rite Aid,139 N Grand Ave,Covina,CA,91724,34.08717,-117.87264
,Rite Aid,3570 Santa Anita Ave,El Monte,CA,91731,34.074261,-118.04151
,Rite Aid,13905 Amar Rd,La Puente,CA,91746,34.053265,-117.97391
,Rite Aid,1480 Foothill Blvd,La Verne,CA,91750,34.116558,-117.77522
,Rite Aid,611 E Holt Ave,Pomona,CA,91767,34.062687,-117.73861
,Rite Aid,933 W Arrow Hwy,San Dimas,CA,91773,34.1068,-117.82541
,Rite Aid,9450 Las Tunas Dr,Temple City,CA,91780,34.106113,-118.06483
,Rite Aid,1528 E Amar Rd,West Covina,CA,91792,34.030869,-117.91417
,Rite Aid,920 E Valley Blvd,Alhambra,CA,91801,34.079033,-118.1137
,Rite Aid,69 E Main St,Alhambra,CA,91801,34.095795,-118.12567
,Rite Aid,165 E Foothill Blvd,Arcadia,CA,91006,34.151112,-118.02637
,Rite Aid,2059 S Garey Ave,Pomona,CA,91766,34.03389,-117.74937
,Rite Aid,4200 Chino Hills Pkwy,Chino Hills,CA,91709,33.982738,-117.71253
,Rite Aid,12059 Central Ave,Chino,CA,91710,34.034161,-117.68937
,Rite Aid,18993 Colima Rd,Rowland Heights,CA,91748,33.987595,-117.8894
,Rite Aid,2060 S Hacienda Blvd,Hacienda Heights,CA,91745,33.99593,-117.96806
,Rite Aid,2797 S Diamond Bar Blvd,Diamond Bar,CA,91765,33.974751,-117.83725
,Service Liquor Store,3803 W 3rd St,Los Angeles,CA,90020,34.069088,-118.29796
,Ramona Liquor and Deli Market,13750 Ramona Blvd,Baldwin Park,CA,91706,34.083351,-117.97275
,Rite Aid,44226 10th St W,Lancaster,CA,93534,34.686501,-118.14796
,Rite Aid,37950 47th St E,Palmdale,CA,93552,34.571705,-118.04494
,Rite Aid,600 W 7th St,Los Angeles,CA,90017,34.047466,-118.25696
,Rite Aid,2547 W Rosamond Blvd,Rosamond,CA,93560,34.864243,-118.177
,Rite Aid,2419 E Avenue S,Palmdale,CA,93550,34.558167,-118.08525
,Rite Aid,3105 Rancho Vista Blvd,Palmdale,CA,93551,34.602264,-118.18589
,ANATEL LIQUORS,9414 Telegraph Rd,Downey,CA,90240,33.955547,-118.1023
,Rite Aid,735 E Altadena Dr,Altadena,CA,91001,34.190094,-118.13297
,Rite Aid,914 Fair Oaks Ave,South Pasadena,CA,91030,34.115631,-118.15029
,Rite Aid,10465 Sunland Blvd,Sunland,CA,91040,34.259823,-118.32645
