UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Maywood Plaza Ranch Market,3516 Slauson Ave,Maywood,CA,90270,33.988785,-118.20193
,BEN'S MINI MARKET,14131 Vanowen St,Van Nuys,CA,91405,34.193996,-118.44067
,Tony's Market,2027 Rosemead Blvd,South El Monte,CA,91733,34.052502,-118.06445
,Big Red Seafood Market,7929 S Van Ness Ave,Inglewood,CA,90305,33.966335,-118.3178
,Angelica's Market,243 E 53rd St,Los Angeles,CA,90011,33.994267,-118.27029
,JOONS BARGAIN,5207 S Figueroa St,Los Angeles,CA,90037,33.995449,-118.28275
,Nu Way Market,6101 Holmes Ave,Los Angeles,CA,90001,33.984543,-118.24126
,Karabagh Meat Market 2,13747 Victory Blvd,Van Nuys,CA,91401,34.186699,-118.43291
,EL PECAS MEAT MARKET,1644 W Carson St,Torrance,CA,90501,33.831463,-118.30722
,99 Cents Only Store 221,1261 Market Place Ave,Brea,CA,92821,33.917755,-117.88974
,Super Bargain Market,10900 S Main St,Los Angeles,CA,90061,33.93726,-118.27385
,Pomona Ranch Market,604 W Mission Blvd,Pomona,CA,91766,34.054943,-117.75571
,Short Stop 28,6073 Van Nuys Blvd,Van Nuys,CA,91401,34.180813,-118.44876
,Tripti Market,4550 Marathon St,Los Angeles,CA,90029,34.084164,-118.29855
,Saigon Market,15705 Hawthorne Blvd,Lawndale,CA,90260,33.888329,-118.3528
,Jalisco Market,2700 Peck Rd,El Monte,CA,91733,34.060383,-118.03051
,EL AZTECA MARKET,4031 S Main St,Los Angeles,CA,90037,34.010365,-118.27408
,Woosung SM Corp,2920 N Broadway,Los Angeles,CA,90031,34.07365,-118.21108
,La Mexicana Market & Tortilleria,16702 S Vermont Ave,Gardena,CA,90247,33.879444,-118.29119
,Rosemead Supermarket,8815 Valley Blvd,Rosemead,CA,91770,34.080727,-118.07704
,SANTANA MARKET,7724 S Main St,Los Angeles,CA,90003,33.96891,-118.27388
,Bimbo Bakeries 9867,38960 Trade Center Dr,Palmdale,CA,93551,34.586926,-118.14301
,"KC Ocean, Inc.",1800 W 6th Street,Los Angeles,CA,90057,34.058037,-118.27156
,Laguna Meat Market,2127 W 6th St,Los Angeles,CA,90057,34.059826,-118.27545
,AMERICA MARKET,1710 Lake St,Glendale,CA,91201,34.163776,-118.29826
,Rasputin International Market,17159 Ventura Blvd,Encino,CA,91316,34.16053,-118.5072
,Big Saver Foods 16,14310 Hawthorne Blvd,Lawndale,CA,90260,33.901821,-118.35234
,Carniceria Los Amigos 1,2600 E 1st St,Los Angeles,CA,90033,34.042526,-118.20716
,New Delhi Spiceland,18900 Roscoe Blvd,Northridge,CA,91324,34.220558,-118.54482
,PENNY MINI MARKET,8911 S Vermont Ave,Los Angeles,CA,90044,33.956711,-118.29192
,Rodriguez Mini Market 99 Cents,8252 S Main St,Los Angeles,CA,90003,33.964432,-118.27383
,Crenshaw Fish Market,3407 Crenshaw Blvd,Los Angeles,CA,90016,34.02523,-118.33514
,Rick's Fish Market,4750 W Washington Blvd,Los Angeles,CA,90016,34.039791,-118.3432
,Double Bargain,11914 Foothill Blvd,Sylmar,CA,91342,34.275215,-118.39597
,TONOS MARKET,6502 Ira Ave,Bell Gardens,CA,90201,33.972485,-118.15238
,Centro Mercado Latino,4339 Dalton Ave,Los Angeles,CA,90062,34.004677,-118.30352
