UID,name,address,city,state,zip,latitude,longitude,,,,,,,,,,,
,City Hall Market,1043 S Palos Verdes St,San Pedro,CA,90731,33.7347,-118.28,,,,,,,,,PST,LACity,
,1 & Up Only Store,11151 Avalon Blvd Suite #105,Los Angeles,CA,90061,,,,,,,,,,,PST,LACity,
,1 Dollar Store,5573 Rosemead Blvd,Temple City,CA,91780,34.100772,-118.074868,(626) 285-3643,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,PST,Factual,https://www.yelp.com/biz/1-dollar-store-temple-city
,1 Dollar Store Up,747 S Western Ave,,CA,90005,34.058642,-118.309175,(213) 388-5513,,,,,,,,PST,Factual,
,1 Market,10756 Garvey Ave,,CA,91733,34.062631,-118.03964,(626) 575-1608,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,PST,Factual,
,1 Stop Produce Market,16505 Hawthorne Blvd,,CA,90260,33.880704,-118.352934,(310) 371-9700,7:00 AM - 8:00 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,PST,Factual,
,100 Islands Market,26326 Bouquet Canyon Rd,Santa Clarita,CA,91350,34.42196,-118.541,n/a,,,,,,,,PST,Yelp,https://www.yelp.com/biz/100-islands-market-santa-clarita
,100-Mexicana,3225 S Central Ave,Los Angeles,CA,90011,34.014208,-118.256651,(323) 232-1162,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,1355 Florence Inc,1355 W Florence Ave,Los Angeles,CA,90044,33.9745,-118.3,,,,,,,,,PST,LACity,
,15000 Ventura Bl,15000 Ventura Blvd,,CA,91403,34.152614,-118.459782,(818) 995-8701,,,,,,,,PST,Factual,
,168 Market,17120 Colima Rd,Hacienda Heights,CA,91745,33.9907,-117.933,(626) 839-8168,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/168-market-hacienda-heights
,168 Market,19725 E. Colima Road,Rowland Heights,CA,91748,33.98629,-117.872,n/a,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/168-market-rowland-heights-4
,168 Market,933 E Las Tunas Dr,San Gabriel,CA,91776,34.104228,-118.087236,(626) 285-5168,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,https://www.yelp.com/biz/168-market-san-gabriel
,17 Food Store,6522 Stanton Ave Ste A,Buena Park,CA,90621,33.86555,-117.993,(714) 521-7533,,,,,,,,PST,Yelp,https://www.yelp.com/biz/17-food-store-buena-park
,1999 Sundries,1999 Ave Of The Stars,Los Angeles,CA,90067,34.058677,-118.416313,(310) 203-5465,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,,,PST,Factual,http://trwinston.com
,1St Stop Mini Mart,420 E Florence Ave,Inglewood,CA,90301,33.96787,-118.35,(310) 674-3573,,,,,,,,PST,Yelp,https://www.yelp.com/biz/1st-stop-mini-mart-inglewood
,1St Street Market,3417 W 1St St #B,Los Angeles,CA,90004,34.073603,-118.287328,(213) 487-3701,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,2 J's Gourmet,1613 Chelsea Rd,,CA,91108,34.113487,-118.125435,(626) 284-5618,,,,,,,,PST,Factual,
,2 Vcios Market,3075 Randolph St,,CA,90255,33.984505,-118.213184,(323) 277-9918,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,21 Market,2020 Hooper Ave,Los Angeles,CA,90011,,,,,,,,,,,PST,LACity,
,22801 Ventura,22801 Ventura Blvd,,CA,91364,34.166032,-118.623986,(818) 223-9316,,,,,,,,PST,Factual,
,24/7 Outdoors,6940 Woodlake Ave,West Hills,CA,91307,34.1957,-118.63,,,,,,,,,PST,LACity,
,247 Convenient Store,1107 S Baldwin Ave,,CA,91007,34.126737,-118.055275,(626) 447-2398,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,PST,Factual,
,27Th Street Bakery Shop,2700 S Central Ave,Los Angeles,CA,90011,34.0177,-118.26,,,,,,,,,PST,LACity,
,3 Amigos,14696 Parthenia St,Panorama City,CA,91402,34.228022,-118.453305,(818) 891-5254,,,,,,,,PST,Factual,
,3 Brothers Market,16200 Hunsaker Ave,,CA,90723,33.887289,-118.183807,(562) 529-2864,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,3 Brothers Produce,1995 E 20Th St,Los Angeles,CA,90058,34.01784,-118.237,(213) 742-8959,,,,,,,,PST,Yelp,https://www.yelp.com/biz/3-brothers-produce-los-angeles
,3 J Foods Corporation,255 E Redondo Beach Blvd,,CA,90248,33.893114,-118.272944,(310) 329-9665,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,PST,Factual,
,3-D Nutrition,111 W Pacific Coast Hwy,,CA,90744,33.791511,-118.263842,(310) 835-8099,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,3-Minute Mini Market,8861 S Broadway,Los Angeles,CA,90003,33.9564,-118.28,,,,,,,,,PST,LACity,
,30Th Street Market,2924 Maple Ave,Los Angeles,CA,90011,34.020649,-118.267159,(213) 749-7846,,,,,,,,PST,Factual,
,365 By Whole Foods Market 10658,2520 Glendale Blvd,Los Angeles,CA,90039,34.103088,-118.25919,,,,,,,,,,LACounty,
,4 Hermanos Market No 9,6709 S San Pedro St,Los Angeles,CA,90003,33.978457,-118.269553,(323) 751-6570,,,,,,,,PST,Factual,
,48Th Street Market,2371 W 48Th St,Los Angeles,CA,90043,34.000037,-118.31905,(323) 295-7115,,,,,,,,PST,Factual,
,54Th Street Market,2731 W 54Th St,Los Angeles,CA,90043,33.993318,-118.323287,(323) 389-8351,11:00 AM - 11:59 PM,11:00 AM - 11:59 PM,11:00 AM - 11:59 PM,11:00 AM - 11:59 PM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,12:00 AM - 1:00 AM,PST,Factual,
,5643 Carlton Llc,5643 Carlton Way,Los Angeles,CA,90028,,,,,,,,,,,PST,LACity,
,59Th Pl Mini Market,5943 Avalon Blvd Unit #A,Los Angeles,CA,90003,,,,,,,,,,,PST,LACity,
,5Th Ave Market,2700 W Vernon Ave,,CA,90008,34.003506,-118.322634,(323) 291-0334,,,,,,,,PST,Factual,
,5Th Street Market- Inc.,116 E 5Th St,Los Angeles,CA,90013,34.0463,-118.25,,,,,,,,,PST,LACity,
,6Th St Market Inc,212 W 6Th St,Los Angeles,CA,90014,34.0461,-118.25,,,,,,,,,PST,LACity,
,7 & 7 Market,10041 Laurel Canyon Blvd #1 & 2,Pacoima,CA,91331,,,,,,,,,,,PST,LACity,
,7 Day Mini Mart,5565 Bonner Ave,,CA,91601,34.171823,-118.374409,(818) 753-7803,,,,,,,,PST,Factual,
,7 Days Food Store,12411 Burbank Blvd,Valley Village,CA,91607,34.172312,-118.403607,(818) 763-2908,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,PST,Factual,http://www.7daysindianfood.com/
,7 Days Food Store,12737 Victory Blvd,,CA,91606,34.186975,-118.410498,(818) 763-2908,,,,,,,,PST,Factual,
,7 Days Food Store,1700 Victory Blvd,Glendale,CA,91201,34.1612,-118.301,(818) 243-8232,,,,,,,,PST,Yelp,https://www.yelp.com/biz/7-days-food-store-glendale
,7 Days Food Store,304 W 7Th St,San Pedro,CA,90731,33.73792,-118.284,(310) 732-1303,,,,,,,,PST,Yelp,https://www.yelp.com/biz/7-days-food-store-san-pedro
,7 Days Market,1528 W Mission Blvd,,CA,91766,34.054336,-117.773159,(909) 620-2603,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,7 Days Market,6 Country Mile Rd,,CA,91766,34.025065,-117.763513,(909) 620-2603,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,PST,Factual,
,7 Dias Bargain,1310 E Alondra Blvd,,CA,90221,33.888606,-118.207832,(310) 763-7092,,,,,,,,PST,Factual,
,7 Heaven Meat Market,14350 Victory Blvd,,CA,91401,34.186307,-118.446357,(818) 997-4099,,,,,,,,PST,Factual,
,7 N 8 Foodstore,747 S Westlake Ave,Los Angeles,CA,90057,34.0551,-118.28,,,,,,,,,PST,LACity,
,7 Star Food Store,2207 W Washington Blvd,,CA,90018,34.039922,-118.309294,(323) 731-3929,,,,,,,,PST,Factual,
,7 Star Market,1459 N Hollenbeck Ave,,CA,91722,34.09223,-117.898986,(626) 915-4885,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,PST,Factual,http://www.shaws.com
,7-10 Market,3500 Martin Luther King J,Lynwood,CA,90262,33.93599,-118.208,(310) 635-6811,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Yelp,https://www.yelp.com/biz/7-10-market-lynwood
,7-10 Market Ii,200 W Rosecrans Ave,,CA,90222,33.90311,-118.226231,(310) 669-8899,,,,,,,,PST,Factual,
,7-Twenty Four Mini Market,13517 Avalon Blvd,Los Angeles,CA,90061,33.90893,-118.265,(310) 769-0722,,,,,,,,PST,Yelp,https://www.yelp.com/biz/7-twenty-four-mini-market-los-angeles
,77 Mkt,2127 E 17Th St,,CA,90804,33.788111,-118.165783,(562) 438-6000,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,777 Market,1900 S La Brea Ave,,CA,90016,34.040057,-118.347495,(323) 938-1233,,,,,,,,PST,Factual,
,786 Venture Inc,14761 Devonshire St,Mission Hills,CA,91345,34.2572,-118.45,,,,,,,,,PST,LACity,
,7Th & Park,4740 E 7Th St,,CA,90804,33.774578,-118.120222,(562) 433-8714,,,,,,,,PST,Factual,
,7Th Street Market,1086 W 7Th St,,CA,90731,33.737989,-118.300959,(310) 833-6439,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,8-Day Mini Mart,2200 W El Segundo Blvd,,CA,90249,33.916249,-118.318165,(310) 329-6340,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,PST,Factual,
,82Nd Market,5204 Melrose Ave,Los Angeles,CA,90038,34.083454,-118.313735,(323) 466-6730,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
