name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,active,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close,year_round (y/n),season_open,season_close,notes
1st Place Sports Complex,9400 Penfield St,,Chatsworth,CA,91311,Vaughn Mims / 818.280.6410,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/17,8/11/17,Closed: 7/4/2017
All Peoples Christian Center,822 E. 20th Street,,Los Angeles,CA,90011,"Julia Huerta (service), Deisy Huerta (reports) / 213.747.6357 ext:33",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1215,1315,TUE,1215,1315,WED,1215,1315,THU,1215,1315,FRI,1215,1315,,,,,,,n,6/12/2017,7/28/2017,"Field Trip: 6/16,6/23, 6/30, 7/7, 7/14, 7/21, 7/28"
AVBGC - Hammack Activity Center,815 E. Ave Q-6,,Palmdale,CA,93550,"Stacey Cantwell, Armando Villalobos, Lakiesha (reports) / 661.267.2582 (office)",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1500,1600,TUE,1500,1600,WED,1500,1600,THU,1500,1600,FRI,1500,1600,,,,,,,n,6/5/2017,8/4/2017,"Closed: 7/3, 7/4"
AVBGC - Whitney Mac Center,45404 N. Division,,Lancaster,CA,93535,"Jemuel, Marina (reports), Carmen / Office: 661.951.1400 Jemuel: 661.236.8125/661.609.1152 Carmen: 661.917.1077 Center/Paula: (661) 951-1400""",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1500,1600,TUE,1500,1600,WED,1500,1600,THU,1500,1600,FRI,1500,1600,,,,,,,n,6/9/2017,8/4/2017,"Closed: 7/3, 7/4"
Barrio Action Youth & Family Center,4927 Huntington Drive North,Ste 200,Los Angeles,CA,90032,Carlos Martinez/ 323.221.0779 x 309,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/12/17,8/11/17,Closed: 7/3/17
Brierwood,45800 Challenger Way,,Lancaster,CA,93535,"Sharon Smith, Esmeralda Montez / 661.945.2425",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1310,1410,TUE,1310,1410,WED,1310,1410,THU,1310,1410,FRI,1310,1410,,,,,,,n,6/19/2017,7/28/2017,Closed: 7/4/2017
Brownson House,"1307 Warren St,",,Los Angeles,CA,90033,Roberto Ramirez / 213-251-3512,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,,,,,,,,,,n,6/26/2017,7/20/2017,"Closed: 7/3, 7/4, 7/7, 7/14, 7/21"
Canoga Park Library,20939 Sherman Way,,Canoga Park,CA,91303,"Holly Rutan, Patty / 818.346.1197",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Carson BGC,21502 Main St.,,Carson,CA,90745,"Lisa Mejia (reports), Maria Valdovinos (Dir) / 310.549.7311",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/12/2017,8/4/2017,"Closed: 7/4/2017 Field Trip: 6/21, 6/28, 7/12, 7/19, 7/26"
Casa Dominguez,15727 Atlantic Ave,,Compton,CA,90221,Shannon Kay / 310.667.4063,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/19/2017,8/10/2017,Closed: 7/4/2017
Central City Neighborhood Partners,501 S. Bixel Street,,Los Angeles,CA,90017,"Margarita, Noemy, Irma / 213.482.8618",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,n,6/26/2017,8/10/2017,Closed: 7/4
Central Library,630 W 5th St,,Los Angeles,CA,90071,Diane Olivo-Posner / 213.228.7481,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Church of the Redeemer,900 E. Rosecrans Ave,,Los Angeles,CA,90059,"Pastor Kerry Allison, Marian Battle / 310.537.1372 Marian: 310.537.1372",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,7/10/2017,7/28/2017,Closed: 7/4/2017
City of Bell-Veterans Memorial Park,6500 Wilcox Ave,,Bell,CA,90201,"Gabino C Luna, Leticia Covarrubias / 323.923.2664",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,FRI,1130,1230,,,,,,,n,6/12/2017,8/12/2017,"Closed: 7/4/2017 Field trip: 6/29, 7/14, 7/21, 7/27, 8/3"
City of Commerce-Bristow Library,1466 S. McDonnell Ave,,Commerce,CA,90040,"Luis Martinez, Moyra Garcia, Ted Lujan / 323.265.1787 (outside line) 323.887.4492 x 4492 (inside)",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1100,1200,TUE,1100,1200,WED,1100,1200,THU,1100,1200,FRI,1100,1200,,,,,,,n,6/19/2017,8/11/2017,Closed: 7/4/2017
City of Commerce-Veterans Park,6364 Zindell Ave,,Commerce,CA,90040,"Maryanne Griego-Talley, Moyra Garcia / 562.927.1515",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,FRI,1130,1230,,,,,,,n,6/19/2017,8/11/2017,Closed: 7/4/2017
Eastman Elementary School/Healthy Start,4112 E. Olympic Blvd,,Los Angeles,CA,90023,Rachel Jurado / 323.269.0456 / 323.253.6934,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,,,,,,,,,,n,6/12/2017,8/10/2017,"Closed: Fridays, 7/4/2017 Field trip: 8/9/2017"
Echo Park Library,1410 W Temple Street,,Los Angeles,CA,90026,Victoria Sikora / 213.580.3738,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1250,TUE,1200,1250,WED,1200,1250,THU,1200,1250,FRI,1200,1250,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Exposition Park Library,3900 S Western Ave,,Los Angeles,CA,90062,Joann Morgan / 323.290.3149,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,FRI,1130,1230,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Friendly Village,1301 East Ave I,,Lancaster,CA,93535,Kristina Wallace (acting mgr) / Christina Payte / 661.946.6267 (o),,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/8/2017,8/7/2017,Closed: 7/4/2017
Greater New Unity B.C.,9719 S Avalon Blvd,,Los Angeles,CA,90003,Randy Allison Sr./ office: 323.757.5094,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,WED,1200,1300,FRI,1200,1300,,,,,,,,,,,,,n,6/26/2017,8/18/2017,
Hacienda Estates,2330 East Ave J8,,Lancaster,CA,93535,Renate Sauer / 661.945.1597,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/10/2017,Closed: 7/4/2017
Harbor City BGC,1220 W 256th St,,Harbor City,CA,90710,"Mireyda Estrada(dir), Esther Solis (service) / 310.534.0056",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/12/2017,8/10/2017,Closed: 7/4/2017 Field Trip: Every Thursday (except 1st wk.)
Harbor Gateway BGC,802 W Gardena Blvd,,Gardena,CA,90247,"Viridiana Yahuaca (site coordinator), Mireyda Estrada (dir) / 310.523.2173",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/12/2017,8/12/2017,"Closed: 7/4/2017 Field Trip: 6/23, 6/30, 7/7, 7/14, 7/21, 7/28, 8/4, 8/11"
