UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Superior Grocers,5450 Cherry Ave,Long Beach,CA,90805,33.855267,-118.16811
,Jons Marketplace,18135 Sherman Way,Reseda,CA,91335,34.201218,-118.52883
,Ralphs,29675 The Old Rd,Castaic,CA,91384,34.457237,-118.6175
,Smart & Final,15205 Hawthorne Blvd,Lawndale,CA,90260,33.893448,-118.35281
,Smart & Final,10340 Mason Ave,Chatsworth,CA,91311,34.258102,-118.57978
,Walmart,27931 Kelly Johnson Pkwy,Santa Clarita,CA,91355,34.445019,-118.57557
,Northgate Gonzalez Market,2633 Santa Ana St,South Gate,CA,90280,33.964638,-118.22398
,Walmart,19503 Normandie Ave,Torrance,CA,90501,33.854172,-118.29929
,Vallarta Supermarket,3425 Whittier Blvd,Los Angeles,CA,90023,34.027386,-118.2
,Northgate Gonzalez Market,831 N Hacienda Blvd,La Puente,CA,91744,34.034763,-117.95029
,Circle K,4200 Chino Hills Pkwy,Chino Hills,CA,91709,33.982738,-117.71253
,Circle K,28005 Seco Canyon Rd,Santa Clarita,CA,91390,34.460644,-118.53439
,Circle K,8451 Slauson Ave,Pico Rivera,CA,90660,33.973736,-118.11353
,Trader Joe's,2222 N Bellflower Blvd,Long Beach,CA,90815,33.796967,-118.12516
,Smart & Final,28207 Newhall Ranch Rd,Valencia,CA,91355,34.442944,-118.5786
,Superior Grocers,11202 Crenshaw Blvd,Inglewood,CA,90303,33.932938,-118.32635
,Target,3100 Baldwin Park Blvd,Baldwin Park,CA,91706,34.069561,-117.97971
,Target,1800 W Empire Ave,Burbank,CA,91504,34.191936,-118.32927
,Target,11525 South St,Cerritos,CA,90703,33.858509,-118.08774
,Target,888 W Arrow Hwy,San Dimas,CA,91773,34.10656,-117.82442
,Target,2831 E Eastland Ctr Dr,West Covina,CA,91791,34.072868,-117.88526
,Target,3944 Grand Ave,Chino,CA,91710,33.998215,-117.71864
,Northgate Gonzalez Market,3828 Peck Rd,El Monte,CA,91732,34.07468,-118.02241
,Walmart,26471 Carl Boyer Dr,Santa Clarita,CA,91350,34.415195,-118.5052
,Food 4 Less,13413 Telegraph Rd,Whittier,CA,90605,33.939999,-118.04584
,Northgate Gonzalez Market,307 W Pacific Coast Hwy,Wilmington,CA,90744,33.791027,-118.26636
,Target,7100 SANTA MONICA BLVD,WEST HOLLYWOOD,CA,90046,34.090649,-118.34409
,Vallarta Supermarket,9011 Woodman Ave,Arleta,CA,91331,34.233292,-118.43896
,Target,10820 Jefferson Blvd,Culver City,CA,90230,34.001133,-118.39484
,Target,1200 N Sepulveda Blvd,Manhattan Beach,CA,90266,33.887562,-118.39589
,Target,24425 Magic Mountain Pkwy,Valencia,CA,91355,34.419567,-118.56151
