uid,name,address,city,state,zip,latitude,longitude,,,,,,,,,,,
,Albertson's,1000 N Azusa Ave,,CA,91722,34.097617,-117.907705,(626) 974-4582,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 5:00 PM,10:00 AM - 6:00 PM,PST,Factual,http://www.albertsons.com/
,Albertson's,101 E Ave E,,CA,93535,34.689546,-118.13026,(661) 948-9620,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,
,Albertson's,101 E Willow Blvd,Long Beach,CA,90806,33.80546,-118.192,(562) 988-8785,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,PST,Yelp,https://www.yelp.com/biz/albertsons-long-beach-2
,Albertson's,1010 E Ave,,CA,93535,34.68832,-118.111805,(661) 948-7332,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,http://www.albertsons.com/
,Albertson's,1023 N Grand Ave,Covina,CA,91724,34.098049,-117.873009,(626) 332-1060,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,PST,Factual,http://www.albertsons.com/
,Albertson's,110 E Carson St,Carson,CA,90745,33.83084,-118.276729,(310) 835-6402,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,http://www.albertsons.com/
,Albertson's,1180 W Lambert Rd,,CA,92821,33.924525,-117.915742,(714) 671-6100,,,,,,,,PST,Factual,
,Albertson's,12 Village Loop Rd,,CA,91766,34.033372,-117.771234,(909) 865-2190,,,,,,,,PST,Factual,http://albertsons.com
,Albertson's,12013 Central Ave,,CA,91710,34.035002,-117.687794,(909) 464-1594,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,http://www.albertsons.com
,Albertson's,1222 N Avalon Blvd,,CA,90744,33.787265,-118.262881,(310) 835-1427,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,http://www.albertsons.com
